# Ps Pf mean_tdx
3.50 0.5 -1.6082463491787211
3.50 1.0 -1.6167244544766566
3.50 1.5 -1.446897507047997
3.50 2.0 -1.3233658766166934
3.50 2.5 -1.2198287582965543
3.50 3.0 -1.138810802942312
3.50 3.5 -1.0775804692331303
3.50 4.0 -1.02335880390635
3.50 4.5 -0.976492467228941
3.50 5.0 -0.9356853165080348
3.50 5.5 -0.9033855140990307
3.50 6.0 -0.8721069535572477
3.50 6.5 -0.8373919329696232
3.50 7.0 -0.817168061313689
3.50 7.5 -0.7933443035502843
3.50 8.0 -0.7700249136626549
3.75 0.5 -1.7595411038432458
3.75 1.0 -1.7404053140120492
3.75 1.5 -1.5757651691482883
3.75 2.0 -1.4367063875731976
3.75 2.5 -1.3255683398585727
3.75 3.0 -1.238507417449195
3.75 3.5 -1.1694581189841058
3.75 4.0 -1.106935170881082
3.75 4.5 -1.061855987004662
3.75 5.0 -1.0177142750017172
3.75 5.5 -0.9826711102415756
3.75 6.0 -0.9452427884260923
3.75 6.5 -0.9166522634113207
3.75 7.0 -0.8893093777935627
3.75 7.5 -0.8659966027354236
3.75 8.0 -0.8395837407699975
4.00 0.5 -1.8799965791742623
4.00 1.0 -1.8823730167875
4.00 1.5 -1.695173405431644
4.00 2.0 -1.5468066659822912
4.00 2.5 -1.4265554649551664
4.00 3.0 -1.3364349535484052
4.00 3.5 -1.2676096705200175
4.00 4.0 -1.2016183713348094
4.00 4.5 -1.1458278300713007
4.00 5.0 -1.1015296908610748
4.00 5.5 -1.061682730273449
4.00 6.0 -1.0255628337429714
4.00 6.5 -0.9954846045605747
4.00 7.0 -0.9592594246843709
4.00 7.5 -0.9370922431465948
4.00 8.0 -0.9138791789572625
