# Ps Pf mean_vx
3.25 1.0 -0.6385230409543957
3.25 1.5 -0.6275627708610156
3.25 2.0 -0.5778154716181623
3.25 2.5 -0.5084107811094435
3.25 3.0 -0.43129975292860656
3.25 3.5 -0.3510141554442769
3.25 4.0 -0.2692172057804091
3.25 4.5 -0.16748073331477734
3.25 5.0 -0.06930699662398725
3.25 5.5 0.0342490991142893
3.25 6.0 0.14979318638844336
3.25 6.5 0.27190903050190046
3.25 7.0 0.37602186095620765
3.25 7.5 0.5171309035140382
3.25 8.0 0.6452128303113341
3.50 0.5 -0.5381654126000543
3.50 1.0 -0.6594027547213556
3.50 1.5 -0.649564027018471
3.50 2.0 -0.6017807687359393
3.50 2.5 -0.547566900451417
3.50 3.0 -0.47272326831897943
3.50 3.5 -0.4074665933976024
3.50 4.0 -0.3274532032342673
3.50 4.5 -0.2502380532296659
3.50 5.0 -0.16068842028641123
3.50 5.5 -0.06455310956945488
3.50 6.0 0.0228927242004115
3.50 6.5 0.1360499474537464
3.50 7.0 0.24276909773880365
3.50 7.5 0.3362753187693684
3.50 8.0 0.4620187852036643
3.75 0.5 -0.5426037317463747
3.75 1.0 -0.6716294460026787
3.75 1.5 -0.6748225469680873
3.75 2.0 -0.6296818713996506
3.75 2.5 -0.5743198285783644
3.75 3.0 -0.5189035314489125
3.75 3.5 -0.45387569645935527
3.75 4.0 -0.38508392851735374
3.75 4.5 -0.3229742493607437
3.75 5.0 -0.2374979327797243
3.75 5.5 -0.15623600564438558
3.75 6.0 -0.07830596243838533
3.75 6.5 0.025136112789957043
3.75 7.0 0.10990331314058789
3.75 7.5 0.2196823047577059
3.75 8.0 0.3128709492560393
4.00 0.5 -0.5488991715320728
4.00 1.0 -0.6768127431457499
4.00 1.5 -0.6791651117726734
4.00 2.0 -0.6527921700710753
4.00 2.5 -0.6040852676936062
4.00 3.0 -0.5542858432140317
4.00 3.5 -0.4927565596784785
4.00 4.0 -0.4333101791775246
4.00 4.5 -0.36987406667287204
4.00 5.0 -0.30294568438035935
4.00 5.5 -0.22484191246487448
4.00 6.0 -0.16002536068733997
4.00 6.5 -0.07579320984752913
4.00 7.0 0.013744994352642736
4.00 7.5 0.10340590685552548
4.00 8.0 0.18377292481493285
