# Ps Pf tauTTD tauBTD
2.75 6.0 0.181341030509019 0.7813428728055258
2.75 6.5 0.1756414811699772 0.8196925176032211
2.75 7.0 0.17317079711548133 0.8700238915617975
2.75 7.5 0.16476934698420923 0.9190931304158156
2.75 8.0 0.15630004475336262 1.006466252355696
3.00 0.5 0.914335520915949 0.44842663830882895
3.00 1.0 0.56833595886063 0.45863332388240824
3.00 1.5 0.41925281137346376 0.4820070920286815
3.00 2.0 0.35623279765669147 0.5195140245294606
3.00 2.5 0.30140750126079835 0.5290168758794239
3.00 3.0 0.28825785973872503 0.5601338856926734
3.00 3.5 0.254536365598671 0.5594982187907627
3.00 4.0 0.23271745697177962 0.5983677504701268
3.00 4.5 0.22684280196761852 0.6345908067402736
3.00 5.0 0.19830216252360375 0.6574595780569422
3.00 5.5 0.2019554583855739 0.6952552201831889
3.00 6.0 0.1849344155474486 0.7135858211488785
3.00 6.5 0.1876474641752579 0.7493843212611555
3.00 7.0 0.17892007497684606 0.7623058934273714
3.00 7.5 0.17268493623931488 0.8335564530863515
3.00 8.0 0.1641988702496154 0.8618285443292362
3.25 0.5 0.9470142705437693 0.4327908557485395
3.25 1.0 0.6351342175385734 0.45147389862906506
3.25 1.5 0.46587887115176785 0.44769881320484817
3.25 2.0 0.3753232834968271 0.5057264487658273
3.25 2.5 0.3155810979820706 0.5268859954373512
3.25 3.0 0.2829434439473244 0.5314845777506646
3.25 3.5 0.2855745663490261 0.5311477065434287
3.25 4.0 0.2584827055146398 0.5822242075973436
3.25 4.5 0.2254449129784463 0.5866874551764617
3.25 5.0 0.2042659456554488 0.591265817803393
3.25 5.5 0.21351816345041877 0.617453692455223
3.25 6.0 0.19564384831720044 0.626368589108932
3.25 6.5 0.18213291420418792 0.6597677842817689
3.25 7.0 0.18134218967580953 0.7018456021187072
3.25 7.5 0.18031188375833201 0.7279930463670192
3.25 8.0 0.1661711026402448 0.7601896913989228
3.50 0.5 0.9017828650082518 0.4138591696249585
3.50 1.0 0.5749534971120459 0.3998003095383978
3.50 1.5 0.4322706018851009 0.42814507772952093
3.50 2.0 0.3836909227908414 0.44177485248477066
3.50 2.5 0.3199959476403161 0.47706350213536053
3.50 3.0 0.30833222187076764 0.4847672493431045
3.50 3.5 0.2583938471814628 0.5140200069149
3.50 4.0 0.23539326675668007 0.4998923244085704
3.50 4.5 0.2308276814837825 0.5613027483888262
3.50 5.0 0.22205961185468046 0.5676108537959161
3.50 5.5 0.2038522362552142 0.5832935769360375
3.50 6.0 0.2043156085129986 0.6007035266103147
3.50 6.5 0.18854947224605048 0.6168386645579665
3.50 7.0 0.1884296742369453 0.6413016879896146
3.50 7.5 0.1808347415766557 0.6687005094341955
3.50 8.0 0.1712427579038657 0.692488795770587
3.75 0.5 0.9759214104393229 0.38800679018593087
3.75 1.0 0.5975569481178242 0.39956930288802905
3.75 1.5 0.45729766239336644 0.41254109159963603
3.75 2.0 0.365544916578374 0.42807785391806147
3.75 2.5 0.32437320239623635 0.4520572346419042
3.75 3.0 0.30289059436747306 0.45298842350035134
3.75 3.5 0.266463025316352 0.47454837274767
3.75 4.0 0.24558320090391736 0.48683371473246156
3.75 4.5 0.23453635635920497 0.5195585423764925
3.75 5.0 0.22342010632101397 0.532926653611698
3.75 5.5 0.20967258630014599 0.5711446097877614
3.75 6.0 0.19978637313085545 0.5723223644292041
3.75 6.5 0.192749706638407 0.5969986792953789
3.75 7.0 0.1818781353955758 0.5951261921810005
3.75 7.5 0.18412347639577722 0.5941522746702839
3.75 8.0 0.16746551860739547 0.6623935039117534
4.00 0.5 0.9110724470181584 0.361847928547999
4.00 1.0 0.6110407183791985 0.38207228348974465
4.00 1.5 0.46384648302915515 0.3948474845716971
4.00 2.0 0.38476645073031895 0.41345424416058146
4.00 2.5 0.3169279509369312 0.4307493586933065
4.00 3.0 0.29620056054289073 0.4373566912127137
4.00 3.5 0.2691287451111001 0.4644696567749299
4.00 4.0 0.25286033917209416 0.4795953211674676
4.00 4.5 0.23692824882872035 0.4943011730953345
4.00 5.0 0.2283456564745754 0.5170527109903764
4.00 5.5 0.2130913280701061 0.5062346249030274
4.00 6.0 0.20182824037600788 0.5482220319282813
4.00 6.5 0.1995045487084433 0.5553991702846972
4.00 7.0 0.19640443094207874 0.5787196709105538
4.00 7.5 0.17537732125597805 0.5932982472195031
4.00 8.0 0.17147982880590273 0.6203908168678897
