# Ps Pf tauTTD tauBTD
1.50 2.5 0.23179430330947026 0.9417725393725421
1.50 3.0 0.2118593046674512 1.0259961861571696
1.50 3.5 0.1973205823292835 1.0611632488957086
1.50 4.0 0.17781825678287708 1.1235457392570873
1.50 4.5 0.19139216225533673 1.2303731100025888
1.50 5.0 0.16434029364887828 1.343259085796647
1.50 5.5 0.1634792826654508 1.4306654011941042
1.50 6.0 0.15293497704028036 1.5035886796791158
1.50 6.5 0.1496171742449544 1.6838958769154908
1.50 7.0 0.1434777050408307 1.745381005339307
1.50 7.5 0.13847030146798833 1.9310020047825327
1.50 8.0 0.1366180367065036 2.1393911144681677
1.75 0.5 0.7531382426327802 0.6309332898024606
1.75 1.0 0.4584124224553603 0.6894159350395975
1.75 1.5 0.3576161820869734 0.734423710948524
1.75 2.0 0.3023223867602574 0.7318208926910288
1.75 2.5 0.2578059587336854 0.8442421080705045
1.75 3.0 0.23027269973100573 0.8276267849072451
1.75 3.5 0.1980505889245673 0.8801473708247752
1.75 4.0 0.19196708915574054 0.9497174405896218
1.75 4.5 0.17784750457410944 0.9891573651361084
1.75 5.0 0.17757708730011088 1.0310581855805137
1.75 5.5 0.18389039380730476 1.10818601716423
1.75 6.0 0.1638329516563133 1.1724059582940436
1.75 6.5 0.15137168799862197 1.2574647311346274
1.75 7.0 0.1491105446636151 1.3216305524405396
1.75 7.5 0.14188057454359246 1.4800081283207926
1.75 8.0 0.1359446733208393 1.5544100584437004
2.00 0.5 0.8122211477631656 0.5521780294048452
2.00 1.0 0.4988385001715702 0.6490601999450867
2.00 1.5 0.38410195040544765 0.6244725607562058
2.00 2.0 0.30401100150525123 0.7009587049553438
2.00 2.5 0.2785140104679244 0.670228236173036
2.00 3.0 0.2420278761157424 0.6968276826107374
2.00 3.5 0.2170606461453695 0.7691315367493444
2.00 4.0 0.20576353639281197 0.8119074074195703
2.00 4.5 0.19424837063909972 0.8858506097856234
2.00 5.0 0.18251546138966757 0.8465771970658053
2.00 5.5 0.17295533268537264 0.9014958459582789
2.00 6.0 0.16536419736258612 0.9606794487707118
2.00 6.5 0.1573604798692775 0.9904565529831825
2.00 7.0 0.1553392300890955 1.0857840845539781
2.00 7.5 0.15281937931349507 1.1899527358254927
2.00 8.0 0.1416219136205551 1.33792184503823
2.25 0.5 0.882122878614958 0.5581674375964158
2.25 1.0 0.5200826300628134 0.5398447140764523
2.25 1.5 0.39242916134477784 0.5478154531840196
2.25 2.0 0.34083609334269516 0.6046862346297089
2.25 2.5 0.2925100694887935 0.6590896074967049
2.25 3.0 0.2575767402620235 0.6330074065914657
2.25 3.5 0.24401752778795965 0.676330484377841
2.25 4.0 0.2131891592728388 0.6808666565165036
2.25 4.5 0.20940984100231821 0.7265636426441868
2.25 5.0 0.19246830542404225 0.8482343385815068
2.25 5.5 0.18157531993117607 0.8017683312545467
2.25 6.0 0.1750107112025931 0.8450767945582845
2.25 6.5 0.17537886879435174 0.8983764378689006
2.25 7.0 0.16478733679880192 0.9080092788550673
2.25 7.5 0.15448613468303968 0.992120220582547
2.25 8.0 0.15090102542519515 0.9880548176731769
2.50 0.5 0.8568935629688375 0.4799828760811359
2.50 1.0 0.5568898667894892 0.5038157303955153
2.50 1.5 0.4011533488425948 0.5398623664347497
2.50 2.0 0.33467372339558377 0.5367549457218092
2.50 2.5 0.2949773393076008 0.5774096496311617
2.50 3.0 0.2577138974197591 0.5866025192775275
2.50 3.5 0.23585372191497367 0.5831461288630299
2.50 4.0 0.2261931249912365 0.6208124199579456
2.50 4.5 0.21354274135475151 0.6424249158408192
2.50 5.0 0.19441698608563004 0.6548260351976444
2.50 5.5 0.19392748716541452 0.6864050110626003
2.50 6.0 0.18456844952282653 0.7057389998106738
2.50 6.5 0.17985972291751176 0.7073506568077084
2.50 7.0 0.17292720206967252 0.7770609912085382
2.50 7.5 0.16100605719985264 0.8061657193557603
2.50 8.0 0.1601314139769522 0.8532941104416949
2.75 0.5 0.9747491909031224 0.4543989386464607
2.75 1.0 0.550622157249762 0.4808514018302635
2.75 1.5 0.4356647472111376 0.4828915659749198
2.75 2.0 0.34966281250588166 0.5048674963247639
2.75 2.5 0.3020923131870071 0.5437630196814072
2.75 3.0 0.25362816696825063 0.5256270192695904
2.75 3.5 0.24557790090063475 0.5845803467760243
2.75 4.0 0.22901506059275537 0.5727373370897673
2.75 4.5 0.21953176102200458 0.5602315908716315
2.75 5.0 0.20751509727097636 0.6209585975099694
2.75 5.5 0.19541273859809208 0.6270554710785501
2.75 6.0 0.18200490471969016 0.6407953797568537
2.75 6.5 0.17625810390221827 0.6424002059195454
2.75 7.0 0.17731023819772204 0.6660654269117301
2.75 7.5 0.1635383917638395 0.7154156958849562
2.75 8.0 0.15942664832503206 0.785374923349342
3.00 0.5 0.9513064325338331 0.4322951788409097
3.00 1.0 0.5874794646412609 0.44916021590780675
3.00 1.5 0.4374624317466566 0.4604201542258499
3.00 2.0 0.35034263962540374 0.47827507945459224
3.00 2.5 0.3080412698007269 0.4974167981026794
3.00 3.0 0.2758446323063599 0.4943235489880658
3.00 3.5 0.2591047597913784 0.49809377920502623
3.00 4.0 0.23110469544454196 0.5141605248484673
3.00 4.5 0.22507593629925218 0.5644541482497175
3.00 5.0 0.2033941851186005 0.5438205602880741
3.00 5.5 0.19933114396290383 0.5665889074087255
3.00 6.0 0.1871138238787252 0.5843555427132237
3.00 6.5 0.18675974594878297 0.6296590255834393
3.00 7.0 0.17351210035591727 0.6262836206652197
3.00 7.5 0.17193861120516074 0.6135010322225787
3.00 8.0 0.167704317030456 0.6532931035862912
3.25 0.5 0.9347010997549986 0.40502039141027885
3.25 1.0 0.596109121202325 0.42147808175812024
3.25 1.5 0.4437095231828809 0.4226507140128373
3.25 2.0 0.3564267679067485 0.44656104155791565
3.25 2.5 0.3261847088895354 0.46761567480949623
3.25 3.0 0.2792352055508902 0.4556105449211043
3.25 3.5 0.2656940963527548 0.47622545127357435
3.25 4.0 0.24422723799893684 0.5126322015446262
3.25 4.5 0.23011708719347665 0.512737191646476
3.25 5.0 0.2081060937155635 0.49172520976411743
3.25 5.5 0.20310315631094342 0.5271786025061023
3.25 6.0 0.19112876642011822 0.5585334711332677
3.25 6.5 0.18814729440554123 0.5581181474890724
3.25 7.0 0.1793513747415572 0.5779456508459706
3.25 7.5 0.17598012361571921 0.5888267479992886
3.25 8.0 0.17213709862844054 0.618583106581968
3.50 0.5 0.9659302890891055 0.3833452120125286
3.50 1.0 0.5814628749603066 0.39708214359299276
3.50 1.5 0.4317121867995002 0.41399489949878465
3.50 2.0 0.3656511571381088 0.4283065822528373
3.50 2.5 0.31027845526487907 0.42886326943585046
3.50 3.0 0.2835444388123699 0.46030479854461825
3.50 3.5 0.2662864714191419 0.4555899064692183
3.50 4.0 0.2608842808104847 0.4526781660826666
3.50 4.5 0.23460576473879824 0.4753997577155322
3.50 5.0 0.21494977030288212 0.4814063537506202
3.50 5.5 0.1953256316353548 0.4983030267635935
3.50 6.0 0.1938309398411458 0.4993494388416991
3.50 6.5 0.18258370736899726 0.5217569823242524
3.50 7.0 0.18047095914984207 0.5428801527360834
3.50 7.5 0.17665776389583238 0.5237515632747526
3.50 8.0 0.1715845549950438 0.5601862789561819
3.75 0.5 0.945322651970653 0.37227427551440345
3.75 1.0 0.6132446802537608 0.3824127265065585
3.75 1.5 0.4373554810111721 0.3774282946235252
3.75 2.0 0.3679402078324406 0.39922798186408376
3.75 2.5 0.32470634676821064 0.393393317279287
3.75 3.0 0.28718203374384976 0.42678004929118735
3.75 3.5 0.28062042918574415 0.4121080331752204
3.75 4.0 0.2545669657327653 0.4298162411924516
3.75 4.5 0.23630791245210783 0.46313657127551605
3.75 5.0 0.2264248017394681 0.44117904228517013
3.75 5.5 0.21083908804570456 0.4731217045194537
3.75 6.0 0.20156418176101898 0.49382354211534174
3.75 6.5 0.19243323620382685 0.4767045135539555
3.75 7.0 0.17941805424488805 0.5145579192620309
3.75 7.5 0.18336238270484992 0.487688969308394
3.75 8.0 0.17242750469381612 0.5053966412255857
4.00 0.5 0.9473237797140307 0.35974564340784665
4.00 1.0 0.5980507318556416 0.36105816103222604
4.00 1.5 0.4465705851832521 0.3720102102279499
4.00 2.0 0.36982099730485 0.3756084462759935
4.00 2.5 0.3314551604083591 0.39194213649147164
4.00 3.0 0.2835722751502936 0.4254826175874987
4.00 3.5 0.2757134256965721 0.4043575426397325
4.00 4.0 0.2486403157585438 0.4258414764665888
4.00 4.5 0.22940854178457784 0.43650121080208376
