# Ps Pf mean_vx
3.75 1.5 0.07480138502691246
3.75 2.0 0.09875293895850333
3.75 2.5 0.11789883829565496
3.75 3.0 0.14164988028434852
3.75 3.5 0.16339607493535419
3.75 4.0 0.18171838016502667
3.75 4.5 0.22062262925042758
3.75 5.0 0.24780038155648196
3.75 5.5 0.2635576182510207
3.75 6.0 0.28340756331643174
3.75 6.5 0.3063957043903071
3.75 7.0 0.32747285863659653
3.75 7.5 0.3491777824998907
3.75 8.0 0.379797762146462
4.00 0.5 0.01694262490412521
4.00 1.0 0.044019290242707156
4.00 1.5 0.061904887133257806
4.00 2.0 0.08717320564410454
4.00 2.5 0.10203602164571338
4.00 3.0 0.12941277980985713
4.00 3.5 0.1581792543087773
4.00 4.0 0.17732460194808358
4.00 4.5 0.19698794703317124
4.00 5.0 0.21358345048237143
4.00 5.5 0.2443690997348397
4.00 6.0 0.2620515689660888
4.00 6.5 0.2768902311049181
4.00 7.0 0.3018021670540343
4.00 7.5 0.3327871379877451
4.00 8.0 0.3421453824356596
