# Ps Pf mean_vx
2.00 0.5 -0.3167931283578586
2.00 1.0 -0.33592105151619694
2.00 1.5 -0.2086369773321984
2.00 2.0 -0.03961570158390281
2.00 2.5 0.16883333576391377
2.00 3.0 0.3845326321773777
2.00 3.5 0.617127619263836
2.00 4.0 0.8561696229896957
2.00 4.5 1.087700327954439
2.00 5.0 1.316080012643261
2.00 5.5 1.5434394831902334
2.00 6.0 1.7958293440464619
2.00 6.5 2.0095171805631433
2.00 7.0 2.228976803308165
2.00 7.5 2.4561892201578592
2.00 8.0 2.6743663313691517
2.25 0.5 -0.32838490955049904
2.25 1.0 -0.3864728303117768
2.25 1.5 -0.3019685099672251
2.25 2.0 -0.14599542346485994
2.25 2.5 0.03128911335206406
2.25 3.0 0.21337682102012778
2.25 3.5 0.4226444937095977
2.25 4.0 0.6274942703430804
2.25 4.5 0.8294557497232478
2.25 5.0 1.0389332453790734
2.25 5.5 1.25928035775942
2.25 6.0 1.4759441795127117
2.25 6.5 1.6749428263983954
2.25 7.0 1.8861750200207064
2.25 7.5 2.1076649589127583
2.25 8.0 2.307769065173254
2.50 0.5 -0.3475717652174737
2.50 1.0 -0.4406909324454734
2.50 1.5 -0.36621749260653585
2.50 2.0 -0.23367830094801678
2.50 2.5 -0.07546789287258839
2.50 3.0 0.09261135693883663
2.50 3.5 0.2658858748576304
2.50 4.0 0.4484100286615657
2.50 4.5 0.6400827662237358
2.50 5.0 0.8302394378402177
2.50 5.5 1.020873766554173
2.50 6.0 1.212401974016066
2.50 6.5 1.4050397775491317
2.50 7.0 1.5949704019776276
2.50 7.5 1.789204351535019
2.50 8.0 1.9722995270265868
2.75 0.5 -0.36348485932437574
2.75 1.0 -0.4567456381894543
2.75 1.5 -0.4172739053169274
2.75 2.0 -0.30600374139420516
2.75 2.5 -0.15416964293361868
2.75 3.0 -0.00923569311712704
2.75 3.5 0.135999462732315
2.75 4.0 0.3094871311252628
2.75 4.5 0.47563446776716434
2.75 5.0 0.6491247728009937
2.75 5.5 0.8217114091799229
2.75 6.0 0.993099630389036
2.75 6.5 1.1646536984288105
2.75 7.0 1.3368379356670048
2.75 7.5 1.529705857170805
2.75 8.0 1.698469226359551
3.00 0.5 -0.37592973547211334
3.00 1.0 -0.47801547107838127
3.00 1.5 -0.4526182139206752
3.00 2.0 -0.34840975112133815
3.00 2.5 -0.22474493207459892
3.00 3.0 -0.10257621249476905
3.00 3.5 0.03830822621462309
3.00 4.0 0.191079310410079
3.00 4.5 0.34845303789659227
3.00 5.0 0.4954203834264011
3.00 5.5 0.6516725436900209
3.00 6.0 0.8184621999519955
3.00 6.5 0.9685003158688844
3.00 7.0 1.1408655407907913
3.00 7.5 1.2879859346398526
3.00 8.0 1.460545132379585
3.25 0.5 -0.39282539249642195
3.25 1.0 -0.5091469476781881
3.25 1.5 -0.4844983367249487
3.25 2.0 -0.394538632229732
3.25 2.5 -0.2891357175724879
3.25 3.0 -0.17231720576021708
3.25 3.5 -0.030717869915230542
3.25 4.0 0.09137889547026522
3.25 4.5 0.234438328888174
3.25 5.0 0.3702953271960348
3.25 5.5 0.5208815383286327
3.25 6.0 0.6612473932269588
3.25 6.5 0.8125531495165829
3.25 7.0 0.9534945061406922
3.25 7.5 1.1043159313683506
3.25 8.0 1.2557731177107614
3.50 0.5 -0.40169422648538683
3.50 1.0 -0.5323565098751021
3.50 1.5 -0.50915452813375
3.50 2.0 -0.43479868394913374
3.50 2.5 -0.34651304790045273
3.50 3.0 -0.22761119148227285
3.50 3.5 -0.11198029308128443
3.50 4.0 0.012186796174182443
3.50 4.5 0.13824938613933585
3.50 5.0 0.26609816120551005
3.50 5.5 0.3957775017386571
3.50 6.0 0.5338495647420908
3.50 6.5 0.662060394180224
3.50 7.0 0.8028853169506677
3.50 7.5 0.9411914954669686
3.50 8.0 1.0767090153702654
3.75 0.5 -0.407236357943333
3.75 1.0 -0.5503222873889688
3.75 1.5 -0.5358022253482394
3.75 2.0 -0.46659523591423996
3.75 2.5 -0.37440201990869654
3.75 3.0 -0.27903801157755354
3.75 3.5 -0.16785786010752493
3.75 4.0 -0.05584955119140698
3.75 4.5 0.05978635189630562
3.75 5.0 0.17599529792043542
3.75 5.5 0.298439614450435
3.75 6.0 0.42181044584620775
3.75 6.5 0.5464892362955316
3.75 7.0 0.6684322332740614
3.75 7.5 0.7971371053843834
3.75 8.0 0.9230227386542924
4.00 0.5 -0.4181639434226341
4.00 1.0 -0.5674129902586351
4.00 1.5 -0.5573951844483126
4.00 2.0 -0.49777633182308667
4.00 2.5 -0.41491297685748885
4.00 3.0 -0.3262653971508379
4.00 3.5 -0.22430494624366315
4.00 4.0 -0.12163699438810564
4.00 4.5 -0.007924520216830587
4.00 5.0 0.10425215163376168
4.00 5.5 0.21020373988522623
4.00 6.0 0.32848141173169737
4.00 6.5 0.4363663416027673
4.00 7.0 0.562792806634669
4.00 7.5 0.6757229657387697
4.00 8.0 0.7951350465249762
