# Ps Pf mean_bdx
2.75 3.0 0.020515079661343496
2.75 3.5 0.2592577280051232
2.75 4.0 0.5351752054981057
2.75 4.5 0.8336004244933515
2.75 5.0 1.157582923991281
2.75 5.5 1.525395494790883
2.75 6.0 1.9290531427277215
2.75 6.5 2.372247025039758
2.75 7.0 2.881098738384306
2.75 7.5 3.4061442142968685
2.75 8.0 3.988008701440312
3.00 0.5 -0.8447672803432948
3.00 1.0 -0.8330438463906686
3.00 1.5 -0.6856081149671317
3.00 2.0 -0.515506213033815
3.00 2.5 -0.3310928827508755
3.00 3.0 -0.13575355446541454
3.00 3.5 0.0822235144019116
3.00 4.0 0.3210683536841915
3.00 4.5 0.5713174477850317
3.00 5.0 0.8652540893163139
3.00 5.5 1.187149642169186
3.00 6.0 1.5226019828344317
3.00 6.5 1.9133946741604002
3.00 7.0 2.3305261537478525
3.00 7.5 2.7943974384134145
3.00 8.0 3.293979991113484
3.25 0.5 -0.9194832237502468
3.25 1.0 -0.9101416006868415
3.25 1.5 -0.7798971552046537
3.25 2.0 -0.6175369087766621
3.25 2.5 -0.44701617619316103
3.25 3.0 -0.2705632236913176
3.25 3.5 -0.07265844560409239
3.25 4.0 0.13976447212583085
3.25 4.5 0.36751957631721716
3.25 5.0 0.6236726113445914
3.25 5.5 0.8927619789975191
3.25 6.0 1.1927666973247169
3.25 6.5 1.5296591276033313
3.25 7.0 1.8933471248184488
3.25 7.5 2.2852411087482434
3.25 8.0 2.695843198422742
3.50 0.5 -0.9767183069722299
3.50 1.0 -0.9919308536972217
3.50 1.5 -0.8633399440266054
3.50 2.0 -0.7129789270219333
3.50 2.5 -0.5575946342624051
3.50 3.0 -0.3902964201044866
3.50 3.5 -0.20981443757532245
3.50 4.0 -0.012634815070302651
3.50 4.5 0.1907058096206644
3.50 5.0 0.4099606110333204
3.50 5.5 0.6528225228884267
3.50 6.0 0.9149637042693122
3.50 6.5 1.2105316020055978
3.50 7.0 1.5271242371549798
3.50 7.5 1.8512586519893819
3.50 8.0 2.2291706940698828
3.75 0.5 -1.036462806338017
3.75 1.0 -1.066538916559825
3.75 1.5 -0.9423954609260126
3.75 2.0 -0.7961492399009024
3.75 2.5 -0.6574272429472564
3.75 3.0 -0.4963576488021818
3.75 3.5 -0.32680900296456283
3.75 4.0 -0.1545762409941003
3.75 4.5 0.033103343820385094
3.75 5.0 0.23484820319452612
3.75 5.5 0.44897450058283556
3.75 6.0 0.6817655087599409
3.75 6.5 0.9380057824112167
3.75 7.0 1.2170142887983364
3.75 7.5 1.5075284417940653
3.75 8.0 1.8395236970271103
4.00 0.5 -1.100298695044306
4.00 1.0 -1.1313683546762778
4.00 1.5 -1.017999878685672
4.00 2.0 -0.8801295230353922
4.00 2.5 -0.7419399938568516
4.00 3.0 -0.5956012261793602
4.00 3.5 -0.43956099274692123
4.00 4.0 -0.27468208179896797
4.00 4.5 -0.10558048075419754
4.00 5.0 0.07825630795487545
4.00 5.5 0.2714715999608325
4.00 6.0 0.48594487028232136
4.00 6.5 0.7059957466186593
4.00 7.0 0.9485978986793825
4.00 7.5 1.2137329542103894
4.00 8.0 1.4933520903545983
