# Ps Pf alpha
3.50 2.5 1.9814996438727976
3.50 3.0 1.9864740603090913
3.50 3.5 1.9901515396462615
3.50 4.0 1.9920719287037358
3.50 4.5 1.9938997574572435
3.50 5.0 1.9947870625245945
3.50 5.5 1.9956349339972124
3.50 6.0 1.9960955141969063
3.50 6.5 1.9968046090397402
3.50 7.0 1.9972374549009364
3.50 7.5 1.9975765757349693
3.50 8.0 1.9977804811908575
3.75 0.5 1.6590754384936581
3.75 1.0 1.8771478029598576
3.75 1.5 1.9413465668656187
3.75 2.0 1.9652847746971094
3.75 2.5 1.977353901949816
3.75 3.0 1.9841437891970737
3.75 3.5 1.9880905606060901
3.75 4.0 1.991118890418155
3.75 4.5 1.992338958842487
3.75 5.0 1.9939388602430719
3.75 5.5 1.9947874097903997
3.75 6.0 1.995680028074452
3.75 6.5 1.9960931748163266
3.75 7.0 1.9965533079003064
3.75 7.5 1.9969973962764689
3.75 8.0 1.9973214506893535
4.00 0.5 1.606240209394884
4.00 1.0 1.8586916973370609
4.00 1.5 1.930991992349107
4.00 2.0 1.9575896589750958
4.00 2.5 1.972548173407854
4.00 3.0 1.9805105722769794
4.00 3.5 1.9857904288474597
4.00 4.0 1.9886023211153208
4.00 4.5 1.9911332384759841
4.00 5.0 1.9926573159803478
4.00 5.5 1.99395636903787
4.00 6.0 1.9949244301724138
4.00 6.5 1.9955093333703275
4.00 7.0 1.9962047017530435
4.00 7.5 1.9964857280336876
4.00 8.0 1.9968599539682805
