# Ps Pf beta Deff
1.75 3.0 1.007080704675278 1.7676058685661746
1.75 3.5 1.0238086972570992 1.701750506787589
1.75 4.0 0.9716618310949826 2.7428310560575646
1.75 4.5 1.027243772038236 1.9650049872713562
1.75 5.0 1.0407097671706558 1.8207679479068009
1.75 5.5 0.9980473699002096 2.704997316025598
1.75 6.0 0.9782875273227891 3.501372300258909
1.75 6.5 0.9645359320218788 4.15338907462548
1.75 7.0 0.9987099802299256 3.4155419956358326
1.75 7.5 1.001789039320962 3.6413809361019194
1.75 8.0 0.9757127536256817 4.928953240695206
2.00 0.5 1.0095793200379213 1.8740710824555213
2.00 1.0 0.9796967873422294 2.4082048642057057
2.00 1.5 1.035789896424048 1.6159646842257438
2.00 2.0 1.0050183870941858 2.0670813870072124
2.00 2.5 0.9884660991292381 2.4388596561660414
2.00 3.0 0.9473384064463779 3.3648561717478622
2.00 3.5 1.0293518314234977 2.001266144474078
2.00 4.0 0.972239399749636 3.1821364938251038
2.00 4.5 1.0003146638609601 2.7363469438627672
2.00 5.0 1.00940379473921 2.6777917875924704
2.00 5.5 1.0153667596101028 2.7692076494236253
2.00 6.0 1.026330870567456 2.7273031078872667
2.00 6.5 1.0099167777470686 3.2934085136117632
2.00 7.0 1.0051353999357653 3.65394964144884
2.00 7.5 0.9914082469603189 4.274232940936035
2.00 8.0 0.999929551545905 4.3241671768904455
2.25 0.5 0.9801337794495651 2.9358379844939724
2.25 1.0 0.983885802176532 2.9668990246390794
2.25 1.5 0.9761034152128488 3.214820788193726
2.25 2.0 1.006835384735215 2.456637836712479
2.25 2.5 1.0120177647971735 2.502565964137785
2.25 3.0 0.9938093270469102 2.9854501028115963
2.25 3.5 1.0034590292455603 2.910920956523708
2.25 4.0 0.9769400876884297 3.5540130836316095
2.25 4.5 1.0498273520946333 2.2429002827692055
2.25 5.0 1.0159314908086234 2.953335022271964
2.25 5.5 0.978677837395382 4.122568606744285
2.25 6.0 0.9826888152425045 4.293127391350276
2.25 6.5 0.9658881987758139 5.019651721859516
2.25 7.0 1.0124973077751818 3.811052381685139
2.25 7.5 0.9857099068012362 4.9131645385422935
2.25 8.0 1.051792977407127 3.2100615895578226
2.50 0.5 1.0283554935018842 2.49900548585634
2.50 1.0 1.0669491753481857 1.9941705425519811
2.50 1.5 0.9893411155364933 3.554811511426652
2.50 2.0 0.9773821214602385 3.9205192946316942
2.50 2.5 1.0202737739249421 2.8592297901239507
2.50 3.0 0.9766678368656639 4.130251403193258
2.50 3.5 1.016319658988748 3.13085769066025
2.50 4.0 1.0012772665356418 3.57556928981289
2.50 4.5 0.970809695600855 4.554702286054423
2.50 5.0 1.0024261484820542 3.794521943464759
2.50 5.5 0.9992756754686912 4.018951556197984
2.50 6.0 0.9865559740514613 4.771677779721595
2.50 6.5 0.9853701656885453 4.971222872689301
2.50 7.0 0.9919698453607821 4.90235282936117
2.50 7.5 1.0406347940990262 3.5096101908294206
2.50 8.0 1.005739170664495 4.874493516310305
2.75 0.5 1.0145879230227604 3.3979140351323633
2.75 1.0 1.0142697558455978 3.4337504598068747
2.75 1.5 0.9880476641404894 4.196447367471315
2.75 2.0 1.0455238767904915 2.791822861505133
2.75 2.5 1.0000054223519126 3.9324116828242466
2.75 3.0 1.011475307167377 3.5385359482436063
2.75 3.5 1.000289125659849 4.078699867701786
2.75 4.0 1.0035995426385156 4.164909882512154
2.75 4.5 0.9878900410639603 4.821478154697098
2.75 5.0 0.9706872330916614 5.51175879644874
2.75 5.5 1.0329356768711282 3.676318054818266
2.75 6.0 0.9736138649708964 6.02400144717199
2.75 6.5 0.9875650985368457 5.340820632389338
2.75 7.0 1.011376523576986 4.711909050540249
2.75 7.5 0.9833348721729906 6.063379801366428
2.75 8.0 0.9950357964062363 5.764858029992804
3.00 0.5 1.0017364845046004 4.435628445528019
3.00 1.0 1.0116261948099192 4.134048657026474
3.00 1.5 1.0013540336696618 4.293063074324794
3.00 2.0 0.9865976797641985 4.847143747069236
3.00 2.5 0.9971437633078899 4.636617263197661
3.00 3.0 0.9935929226947162 4.924356198200724
3.00 3.5 1.0258342174746977 3.9740584116702284
3.00 4.0 0.9839712920132688 5.597178689764051
3.00 4.5 1.0135196066317997 4.654971553306469
3.00 5.0 0.9969218052565233 5.367392544790419
3.00 5.5 1.0307557384955568 4.237252322016915
3.00 6.0 1.0065950547970413 5.192682270401245
3.00 6.5 0.987304934785651 6.247204605054046
3.00 7.0 0.9766998007984642 6.755589799168083
3.00 7.5 0.9837482848974559 6.868061501344614
3.00 8.0 1.015013012158288 5.5258120858966935
3.25 0.5 0.9800351418185775 6.114256791173693
3.25 1.0 1.015012705232326 4.706956482605559
3.25 1.5 1.025024623610004 4.498045220162557
3.25 2.0 0.9883826464828097 5.848154026040524
3.25 2.5 1.0229402997189168 4.76542083561388
3.25 3.0 0.9891936633067119 5.834501126238321
3.25 3.5 1.013072740184276 5.152884445679345
3.25 4.0 1.008625705140586 5.491286098023155
3.25 4.5 1.0281133322496776 4.8056783800797955
3.25 5.0 0.9878814058876649 6.529804473864993
3.25 5.5 1.0087122143593419 5.791306497032135
3.25 6.0 1.0107701070619277 5.653581087316797
3.25 6.5 1.0359544916456551 4.785984108730458
3.25 7.0 0.9923021018518474 6.914501264495655
3.25 7.5 1.023721696084367 5.643474302924951
3.25 8.0 1.02853956052343 5.557918452086237
3.50 0.5 0.9946590845740811 6.3555917075830175
3.50 1.0 1.0233317656086558 5.179422649173461
3.50 1.5 1.0159739884171493 5.306646537341734
3.50 2.0 1.0322808599633633 4.786213381694438
3.50 2.5 1.0150870105928655 5.572282528593141
3.50 3.0 0.9959343717856718 6.587802921657801
3.50 3.5 0.9887964612042709 6.799187680474761
3.50 4.0 1.0035334661850832 6.435713272270877
3.50 4.5 0.9674867677348127 8.258282578015649
3.50 5.0 0.985282404680935 7.438085712527455
3.50 5.5 1.0185644595992014 6.086527106882893
3.50 6.0 1.0025225013765329 6.946251410789567
3.50 6.5 1.002696483848532 6.831499509320522
3.50 7.0 0.9687506732908284 8.863782466801409
3.50 7.5 1.0002994101154457 7.485859292529438
3.50 8.0 1.016656489731152 6.778323187652416
3.75 0.5 0.983695321582982 7.835219385406215
3.75 1.0 1.0073111559520211 6.684819682145281
3.75 1.5 1.0113761876769614 6.487417018016437
3.75 2.0 1.006015726141645 6.785640995661629
3.75 2.5 0.9725567027418899 8.474225542647245
3.75 3.0 1.0425958300259635 5.239475579982889
3.75 3.5 1.0090125394109692 6.911640969713319
3.75 4.0 0.9966116897190858 7.510003028997073
3.75 4.5 0.9768682555753906 8.949293108188437
3.75 5.0 0.9739945308839287 9.155318022503206
3.75 5.5 0.9919321476075529 8.208322223941085
3.75 6.0 1.0061658210968625 7.552268098544776
3.75 6.5 0.9577183235383839 10.954256782356605
3.75 7.0 0.9947301023300847 8.38177624945597
3.75 7.5 0.9798116319536837 9.736433535666928
3.75 8.0 0.9905408245669295 9.12678029197049
4.00 0.5 0.9982903673236669 8.229667862601024
4.00 1.0 1.0260307727016933 6.46019657178769
4.00 1.5 1.0240109790594107 6.662046455948015
4.00 2.0 1.000412601207041 8.264184375029311
4.00 2.5 1.0076401404839632 7.628339545008125
4.00 3.0 0.9889246043849124 8.982596920790908
4.00 3.5 1.0288454815761756 6.744224788161572
4.00 4.0 1.0171008002585318 7.401515795530012
4.00 4.5 1.003781437113788 8.161002245751021
4.00 5.0 0.9767766466823281 10.379149395445083
4.00 5.5 0.9723338378215821 10.427735185159976
4.00 6.0 0.9962707777119071 8.927441128862734
4.00 6.5 0.9817568754969828 10.368405683754958
4.00 7.0 0.9548173014797693 12.579620418918067
4.00 7.5 0.9927395467638571 9.654790999204632
4.00 8.0 1.0197964923498424 8.063044385061396
