# G = 0.5
# D = 0.01
Ps,Pf,alpha,beta,D_eff,mean_vx
2.0,6.5,1.9983462228526057,0.994508592225383,0.42164914030556894,1.9367189150613973
2.0,7.0,1.9958967255980156,1.0481922832219497,0.35651397452562406,2.1638859410409177
2.0,7.5,1.995570560217009,1.0118776505691294,0.4662582203086776,2.388194508936251
2.0,8.0,1.9976611624135303,1.0457975969981328,0.43101062823871933,2.624700218040913
2.25,0.5,1.9964820306137014,0.9818892909552707,1.2528758393099022,-0.40318556385363646
2.25,1.0,2.0209999085321906,0.915722076614213,0.5298417547323548,-0.4725304913895117
2.25,1.5,2.0190112668245144,0.9480348579803645,0.3489478929624497,-0.38522753273684895
2.25,2.0,2.0008109564190453,0.9290544352131603,0.3337455837645447,-0.2363524108275786
2.25,2.5,1.7097145610708895,1.0370677536543582,0.2391998515362873,-0.06597396861452348
2.25,3.0,1.7397262746968565,0.9345056856728577,0.37766418740633917,0.12206380869387967
2.25,3.5,1.9465486969591974,0.9654513238540077,0.36477942824576215,0.31609692214306206
2.25,4.0,1.966323460934198,0.9544515527179174,0.4072287948674523,0.5178689600373801
2.25,4.5,1.9876361173386097,0.9733172169799863,0.3840496997575093,0.7367801714476605
2.25,5.0,1.9913297663009304,0.9751185121751553,0.432308481163503,0.9538522749394112
2.25,5.5,1.9941732584184595,1.0304672593479036,0.34069475928424836,1.1831778526015255
2.25,6.0,1.9940185898707403,0.923175479902803,0.5315250045056904,1.3860674724011488
2.25,6.5,1.9954238977784422,0.9514531888906858,0.4866334975790362,1.6110339816300094
2.25,7.0,1.9963446684913855,0.9859422075695881,0.4562251956820767,1.8246488102068723
2.25,7.5,1.996535363419881,1.0020506572855021,0.44568589100442685,2.024754207352269
2.25,8.0,1.9995706981182615,1.0517153058259923,0.37443983193011493,2.236486811604344
2.5,0.5,1.9797549575810318,1.0368169947931594,1.2437003553288974,-0.4392092259644184
2.5,1.0,2.0243541999816226,0.9061376796646661,0.583776326124266,-0.5088736191338776
2.5,1.5,2.025341273905444,0.8974088670808259,0.39934708904795224,-0.443826511691826
2.5,2.0,2.0175752890215937,0.9401766840965917,0.2834988888757421,-0.32034010155147913
2.5,2.5,1.9821652831994137,0.9321695386141836,0.32397274350741156,-0.1763938926762431
2.5,3.0,1.096334132604632,1.008513165432581,0.26980717093058265,-0.021347764820330125
2.5,3.5,1.844940322301919,0.9977065066133886,0.3010078811511451,0.16436179416565638
2.5,4.0,1.9468923420322362,1.0002035324169654,0.3508459928905346,0.3507406141082016
2.5,4.5,1.9701245260213327,0.9647779802073836,0.4286364539868366,0.5348950047286775
2.5,5.0,1.9907359313661832,0.9988833452310074,0.38385997816739287,0.7314627974216219
2.5,5.5,1.9856730236758673,0.9990564305388028,0.4178840217533263,0.9184531818891774
2.5,6.0,1.996743862706988,1.0667800181716676,0.3193389858813503,1.1287877851405146
2.5,6.5,1.9977933615925623,1.0809190104110402,0.3209168631539543,1.3240304331650918
2.5,7.0,1.9974613022087844,0.9622132049807983,0.5225793873529582,1.5175697090540297
2.5,7.5,1.9975852331144393,0.9820660778141896,0.47860117325364415,1.7182091194527165
