lp_w,Pf_Ps,alpha,beta,trap_frac,mean_vx
2.0,1.0,1.6222612439835118,0.9701741959210165,0.34642222222222224,0.41802996736882925
2.0,1.125,1.6685095547015312,1.0170166219015597,0.3427222222222222,0.5102086769982864
2.0,1.25,1.7198949182853376,1.0148524237171725,0.3433333333333333,0.5622681968582468
2.0,1.375,1.7370006863652954,1.0125030580471603,0.34154444444444443,0.6315220540175687
2.0,1.5,1.766097033443043,1.041942474714396,0.34021111111111113,0.6925538289858396
2.0,1.625,1.7828405425879272,1.0153778576191599,0.3391777777777778,0.736065628913811
2.0,1.75,1.7831779088115385,0.954009757427437,0.3353888888888889,0.8225868319379871
2.0,1.875,1.8131969788158884,0.9902148340017389,0.33944444444444444,0.867908197978181
2.0,2.0,1.842185366982839,1.0609660799683123,0.3354666666666667,0.9441990423784278
2.25,0.125,1.0070442935118489,0.9675225980096842,0.35275555555555554,0.0631805946835204
2.25,0.25,1.161051777771648,1.0458864345240162,0.3549555555555556,0.12587541591654025
2.25,0.375,1.2270521304279842,1.0070916417448368,0.35334444444444446,0.20244591346813465
2.25,0.5,1.3628674944788042,1.0255776785731903,0.35263333333333335,0.24666422073438177
2.25,0.625,1.4391084995724142,1.0493836406051322,0.35184444444444446,0.30722639077055763
2.25,0.75,1.4857378014537745,1.0127315414917535,0.3523,0.37624623451163547
2.25,0.875,1.6024476985125553,1.0327925517465086,0.3509,0.4381779061573166
2.25,1.0,1.601777252961099,1.0221196813464688,0.3512,0.48883360676401205
2.25,1.125,1.678155188618461,1.03632854828463,0.3508,0.5395897434079017
2.25,1.25,1.7125384522906628,1.0012961097030093,0.3520333333333333,0.5882896541705668
2.25,1.375,1.7354495290492118,1.0599165170685736,0.3493888888888889,0.7027665939722636
2.25,1.5,1.7773130633026133,1.0382242505677215,0.34833333333333333,0.7284523929281561
2.25,1.625,1.7800070847580391,1.0470335541720304,0.34717777777777775,0.8054686794285315
2.25,1.75,1.7795738872549953,0.985772971529213,0.3458222222222222,0.8720699385310593
2.25,1.875,1.817964104804605,1.0911941023730682,0.3481222222222222,0.8868016072947207
2.25,2.0,1.8197854770709638,1.0533928253380718,0.3466444444444444,0.9714846337157982
2.5,0.125,1.032057354366472,0.9743089629507342,0.36086666666666667,0.08875086838638507
2.5,0.25,1.1180279461823142,1.0038124098473868,0.3592888888888889,0.14927258145615038
2.5,0.375,1.254176739147742,1.0881625060878,0.36086666666666667,0.18714614714662361
2.5,0.5,1.2745530186359555,0.9820506186801023,0.3592444444444444,0.24535165253902944
2.5,0.625,1.38141734415607,1.0247502328415208,0.3581666666666667,0.33524062470918126
2.5,0.75,1.4893703939792655,1.0213352650087124,0.3597222222222222,0.37880416398682887
2.5,0.875,1.5603580932050376,1.074176383089878,0.35981111111111114,0.4342821885745024
2.5,1.0,1.585249429195577,1.000220828515483,0.35812222222222223,0.4958740009875007
2.5,1.125,1.6356241655045958,1.0475542295419997,0.3587444444444444,0.5741283335951404
2.5,1.25,1.6676575305599157,0.9954850898660921,0.3539888888888889,0.6572160252070991
2.5,1.375,1.7351013550509207,1.024297978334457,0.3540888888888889,0.7212663596480532
2.5,1.5,1.7577131599750178,1.0494684095827849,0.3557,0.780171289725607
2.5,1.625,1.7732264662097534,1.0639829036924684,0.3574111111111111,0.8189815577080195
2.5,1.75,1.8166667413324251,1.0283978324827225,0.3524111111111111,0.9171552205014927
2.5,1.875,1.8343432028560156,1.0303833596943022,0.3523222222222222,0.9769889506363664
2.5,2.0,1.8084864047896658,1.0631283797235445,0.3539333333333333,1.0074046667423993
2.75,0.125,1.0456319534421548,1.0171283350721652,0.3680222222222222,0.06131125063636781
2.75,0.25,1.1656181188048742,1.0671438175507106,0.3670111111111111,0.15743721016460324
2.75,0.375,1.1978444206279093,1.0209437179089829,0.3673222222222222,0.18529259250348648
2.75,0.5,1.3042641444300547,1.0278965075169317,0.36562222222222224,0.2854235059311207
2.75,0.625,1.3677433159014096,1.0128526109707632,0.36417777777777777,0.3473958261217152
2.75,0.75,1.4714175270975873,1.0286240361349557,0.3643,0.42609315950349685
2.75,0.875,1.525361498582302,1.002535693360197,0.3666111111111111,0.43461293829717496
2.75,1.0,1.609216056385228,1.0578313817189773,0.36415555555555557,0.5531165463583017
2.75,1.125,1.5793377080292132,0.9851534273277043,0.36156666666666665,0.5909035145408115
2.75,1.25,1.6997983040555622,1.0564863270822016,0.3616666666666667,0.7035428103889677
2.75,1.375,1.675354353993837,1.0084698832695336,0.36234444444444447,0.7326696775607465
2.75,1.5,1.7870500912539877,1.0791447512851373,0.3575,0.8596188302369147
2.75,1.625,1.742673105258334,1.006051211821943,0.3615,0.8971670815173087
2.75,1.75,1.795767959018784,1.0081166320158383,0.35936666666666667,0.9483113707946358
2.75,1.875,1.7723961373787747,0.964369658513026,0.3594111111111111,1.000520501371594
2.75,2.0,1.81090770143492,1.0487565458188173,0.3587666666666667,1.0917324209215846
3.0,0.125,1.046834940012152,1.0327063288469758,0.3738222222222222,0.06877411271014346
3.0,0.25,1.1129920521645345,1.0178702795873287,0.3722111111111111,0.14677631499293675
3.0,0.375,1.216081477976103,1.0622725657815588,0.37196666666666667,0.20568163205358872
3.0,0.5,1.3149115795303046,1.0424497298353173,0.37025555555555556,0.3092951014757729
3.0,0.625,1.347749911719858,1.0187147497100115,0.3700222222222222,0.34629861009524904
3.0,0.75,1.4643600373842887,1.0250500472267154,0.36922222222222223,0.4127715625845137
3.0,0.875,1.4943557998198767,1.0371457845462033,0.3697111111111111,0.4912381616181322
3.0,1.0,1.5994419358679306,1.0922047114478977,0.3684,0.5672586893060493
3.0,1.125,1.658315038158814,0.9956324843070526,0.36873333333333336,0.6525333685684752
3.0,1.25,1.671872675259388,1.0432477370388813,0.3702111111111111,0.6947664629663782
3.0,1.375,1.7184010715486633,1.0984718913430678,0.3665888888888889,0.7818878896067195
3.0,1.5,1.7216404960585383,1.0094605775293455,0.36898888888888887,0.8152865384490817
3.0,1.625,1.7452955534074746,1.0359689723509762,0.3667222222222222,0.9195871922540357
3.0,1.75,1.7986715956302712,0.9672211979100845,0.3644777777777778,1.0063444681994171
3.0,1.875,1.7914246765219193,1.0119502834029186,0.36352222222222225,1.0843771822383017
3.0,2.0,1.7786894058076952,1.0230707248028792,0.36317777777777777,1.1489936214028047
3.25,0.125,1.0521772377148282,1.0247503052428577,0.3777888888888889,0.07614542889544793
3.25,0.25,1.0862196598119895,1.0054997206042735,0.3776555555555556,0.1488802711943126
3.25,0.375,1.2133795850608198,1.0639262706151444,0.37772222222222224,0.20209758143799922
3.25,0.5,1.3249570824215893,1.0932270968814615,0.37696666666666667,0.29086661675812175
3.25,0.625,1.3637883974273564,1.0957245830593971,0.37596666666666667,0.34477671369585955
3.25,0.75,1.450269888571624,1.026404620837871,0.37287777777777775,0.4474371899970957
3.25,0.875,1.4967645503755789,1.0340085745225154,0.3723888888888889,0.5316451354426353
3.25,1.0,1.5590982526625805,0.9720095404312786,0.37216666666666665,0.5856410108923938
3.25,1.125,1.620637509609411,0.985637717180322,0.37314444444444445,0.6360046871351882
3.25,1.25,1.6264835590430575,1.0315950198057662,0.3731555555555556,0.7364932304335429
3.25,1.375,1.6726572669302984,1.0066844597999742,0.37272222222222223,0.8125010794049978
3.25,1.5,1.680051883082678,1.0339349310409465,0.3708666666666667,0.8874889373133708
3.25,1.625,1.7567821505002579,1.0529151373632037,0.3697,0.9895223367904393
3.25,1.75,1.7563543706747442,1.0577276752734428,0.37316666666666665,1.0106343050070226
3.25,1.875,1.7585386453076575,0.9841398107464084,0.37294444444444447,1.0784121036344552
3.25,2.0,1.78814382149562,1.026134023807577,0.3677,1.1797396248436591
3.5,0.125,1.056903526141946,1.0341204095007028,0.3784777777777778,0.0682864387356106
3.5,0.25,1.0912109750278964,1.0009760958193077,0.37826666666666664,0.15162329531382074
3.5,0.375,1.1732623091952568,1.0166503422406366,0.3772,0.2414302164111728
3.5,0.5,1.259981165921604,1.0076899441564302,0.37737777777777776,0.33560263334193086
3.5,0.625,1.371068730561737,1.0855651601982301,0.37655555555555553,0.4010927165919302
3.5,0.75,1.4354651903711877,1.0672294712600936,0.37514444444444445,0.47737315863716123
3.5,0.875,1.4931473968123383,1.0825138619971375,0.37522222222222223,0.5324953696156379
3.5,1.0,1.5487204419970442,1.044224687694011,0.3762333333333333,0.6318673421520997
3.5,1.125,1.643637448751435,1.0912430407187805,0.37483333333333335,0.6968134693986748
3.5,1.25,1.659499114958302,1.051532520378613,0.3751333333333333,0.7661629150269592
3.5,1.375,1.6620430593866284,1.0519665161920095,0.3789111111111111,0.794908152827756
3.5,1.5,1.6804556819041934,1.0250699409795492,0.37522222222222223,0.9115957188393866
3.5,1.625,1.7025377831447144,1.015369937189575,0.3726777777777778,1.0149623889783
3.5,1.75,1.7291357061415027,1.0255851950249837,0.37583333333333335,1.0436621661143808
3.5,1.875,1.7235824295303288,0.9743254502269589,0.37455555555555553,1.1335116793397981
3.5,2.0,1.7730624241543245,1.0253512240791027,0.3715888888888889,1.2197538183699284
3.75,0.125,1.0226500680879222,0.9898727319761315,0.38484444444444443,0.07451909490355414
3.75,0.25,1.1252099226456111,1.0466005978998598,0.3837777777777778,0.18205838894861706
3.75,0.375,1.19208772631498,1.0583138575440383,0.3842333333333333,0.2301965634799873
3.75,0.5,1.2642893153728016,1.0131635201724098,0.38108888888888887,0.3143238736730993
3.75,0.625,1.3650267715921993,1.0541733724412676,0.3809222222222222,0.41357193525762403
3.75,0.75,1.369059513630661,0.9755669001662478,0.3798,0.49955253438306485
3.75,0.875,1.5026130058726297,1.062085838455434,0.3811,0.5685730055540832
3.75,1.0,1.5406712301759538,1.0396981681841675,0.38345555555555555,0.6369031830794106
3.75,1.125,1.5644841700169827,1.0399996174338915,0.3803666666666667,0.6916864458211666
3.75,1.25,1.6071911328135506,1.008906697716659,0.3800222222222222,0.7831879759032873
3.75,1.375,1.6350460956847377,1.063461795721587,0.38076666666666664,0.8467077716882965
3.75,1.5,1.6957361892632823,1.0515547485693837,0.37727777777777777,0.9598338165517656
