# G = 0.0
# D = 0.01
Ps,Pf,alpha,beta,D_eff,mean_vx
1.75,4.5,1.9946632422303254,0.9825933046072024,0.19698211274673888,1.381919255296699
1.75,5.0,1.9969023659194265,0.9733849508245027,0.20651074340537431,1.642512143002934
1.75,5.5,1.998028412890838,0.9856478024101528,0.2052901904430914,1.900298376211835
1.75,6.0,1.9978825066629404,1.0046293191246392,0.21151191748516543,2.1618428372432485
1.75,6.5,1.9954566851439044,0.9742626010165835,0.2803450959143293,2.409862117621117
1.75,7.0,1.9975120487419713,1.006953859925519,0.3229415069468492,2.6426524568587415
1.75,7.5,1.998770341394888,0.9940926602177766,0.398224682428111,2.8853154603473286
1.75,8.0,1.9962309128831004,1.0333288493375472,0.4528371456439051,3.1341951437648263
2.0,0.5,1.8916563088022,0.9715869068027411,1.1465804196317866,-0.32372188297400395
2.0,1.0,2.0102689352119434,0.9283292514308926,0.4965123369796424,-0.3513286384023227
2.0,1.5,2.006577020850299,0.8906965847990796,0.3547416209870395,-0.2271367530808586
2.0,2.0,1.4641650282461294,0.9171627324403788,0.2476694789177585,-0.04782839846960476
2.0,2.5,1.8274561692096303,0.874423535807096,0.27488681759055045,0.15281576747752712
2.0,3.0,1.9619163930215275,0.9774448286812967,0.18012946286732473,0.38102117426929344
2.0,3.5,1.985000531825434,0.9829783128868855,0.18621012078499916,0.6145973512768197
2.0,4.0,1.9915253599893123,0.9653154005792289,0.20143027054407137,0.8379037573803015
2.0,4.5,1.9945887862466893,1.0190638732754556,0.17203788741110967,1.0671379642445564
2.0,5.0,1.9966938600519264,0.9807134494882206,0.20028065611814966,1.302696784787494
2.0,5.5,1.9974116138749454,0.9969606552757073,0.17466113355356305,1.5413587687474366
2.0,6.0,1.99895533929702,0.9877456406753363,0.19910868670490925,1.7623000112285994
2.0,6.5,1.9982668473309677,1.0045807358651384,0.21085024021958543,2.0053146211454607
2.0,7.0,1.9973228665220677,0.9948937479990093,0.24099419951816164,2.2373323853257725
2.0,7.5,1.9975795216910723,0.9711023786527582,0.3071810031384428,2.4622791307861025
2.0,8.0,1.9974711576629303,0.9966597396569865,0.3181335179761113,2.6711590220824633
2.25,0.5,1.9274119723737757,0.9996983263501049,1.393133377264716,-0.352576037446467
2.25,1.0,2.0014109938826583,1.0322404879785705,0.3926882377211609,-0.39978678113325244
2.25,1.5,2.0190139203450292,0.9342210587989663,0.3131726412032806,-0.30356956186263084
2.25,2.0,1.980751922975026,0.9767514068598172,0.20957732525173275,-0.14512719608511676
2.25,2.5,1.2325325793568156,0.9856021960574893,0.1613857593105053,0.03200263237058323
2.25,3.0,1.9056642587201893,0.9266081885452107,0.22081254525056965,0.21466043552734396
2.25,3.5,1.9776513111038463,1.0167066114121253,0.1669926676587176,0.4293259328283422
2.25,4.0,1.988602383551374,1.0344883071382907,0.1652861270583933,0.6227881472608702
2.25,4.5,1.9899066548745254,0.9979149963623974,0.17647390754708694,0.8179092869711857
2.25,5.0,1.993576283258103,1.00103292689634,0.18841051113039667,1.036013554368638
2.25,5.5,1.9969760702877377,0.9604331955420659,0.21971074684300138,1.2574428413899228
2.25,6.0,1.9982764799691817,0.9394693714395796,0.242616653163363,1.4603956204544337
2.25,6.5,1.9985909924654874,0.9945000177878018,0.2090137537831246,1.6701343396775754
2.25,7.0,1.9983728511285899,0.9785016695951372,0.22281991533594456,1.8687310818321374
2.25,7.5,1.9981741431829623,1.0183472178020272,0.22240929158684755,2.0913665613566925
2.25,8.0,1.9986819284178108,0.9698828399171153,0.2737968591911251,2.2880680384229004
2.5,0.5,1.9441915167852277,1.01523404217497,1.5270293870872036,-0.3526071941001362
2.5,1.0,2.0354853028800783,0.9467226125632294,0.6499328513236631,-0.44091592664868795
2.5,1.5,2.037063351313704,0.9085763251879302,0.3651696722563309,-0.36692488049713645
2.5,2.0,2.0236113470363315,0.9587804194556132,0.21302844420932518,-0.23296005919674104
2.5,2.5,1.9071829690483664,0.9198835755720299,0.2021301475775254,-0.07930536645154841
2.5,3.0,1.7736179943124337,1.0723337289202646,0.11590945247950189,0.08709819955723183
2.5,3.5,1.9569646958454894,0.9740245958084196,0.1769240244287355,0.26804708905110913
2.5,4.0,1.9833962261662783,0.9706555983455424,0.1856947142494651,0.4410081165870844
2.5,4.5,1.991564584475092,0.960826334830563,0.2048261795684744,0.6314241886569621
2.5,5.0,1.9881263384105892,0.9840125862660506,0.19181566007758072,0.8185728180521472
2.5,5.5,1.9933789013728953,1.0128294198131855,0.17048868765928862,1.00888799865074
2.5,6.0,1.9986318347996348,0.9903054262107709,0.20022699978815128,1.2040530578999729
2.5,6.5,1.996104441949252,0.9891463636193422,0.2061300890216923,1.3860299785247212
2.5,7.0,1.9966667448666973,0.9510692408321935,0.2564637710196486,1.5880428358260552
