# G = 1.0
lp_w,Pf_Ps,alpha,beta,D_eff,mean_vx
2.5,0.375,2.0297489528413672,0.8456996098863732,0.7895030906095999,-1.3986500383479488
2.5,0.5,2.0228286870806937,0.9549828055554325,0.3754956485729463,-1.4173489562695203
2.5,0.625,2.029244064832464,0.9494256665075916,0.3808479392321493,-1.3052918043131891
2.5,0.75,2.0230516186154683,0.925477163232275,0.472543746985204,-1.1762090898287392
2.5,0.875,2.013515267228133,0.9442461054591721,0.4476482597399348,-1.0235996751736132
2.5,1.0,2.006012251112041,0.9497820760681941,0.53310824811575,-0.8392927236293575
2.5,1.125,1.9902431396564266,1.0117596658407555,0.48663533705727074,-0.6796312490542139
2.5,1.25,1.931845640751052,0.9985637844182821,0.5982853718968585,-0.46597307576389163
2.5,1.375,1.7228230129257838,0.9808103624242391,0.713248269282471,-0.2680543475771932
2.5,1.5,1.0742883185781877,1.0052897031753865,0.7147469591503963,-0.04391043938895354
2.5,1.625,1.3685212548805403,1.0086398512152628,0.8292072863213716,0.17645252199129408
2.5,1.75,1.754205542661994,1.1082439086125786,0.6233324067399229,0.3851286844729839
2.5,1.875,1.8166837678291454,0.958383682645591,1.2515209571285317,0.6377496549733036
2.5,2.0,1.8980223483761796,0.9994840806116014,1.1570631542240644,0.8933982481824674
2.75,0.125,1.9686991829981801,1.0077646009035348,1.9398761765754176,-1.1177064804477417
2.75,0.25,2.0349376045490173,0.9355883122974615,0.9709646636232122,-1.5683429163553257
2.75,0.375,2.030736462012999,0.8877708184792814,0.5877521317212455,-1.6388780538224903
2.75,0.5,2.0341247674910568,0.8535811793122946,0.56339122787852,-1.5823187720199436
2.75,0.625,2.0247908859670543,0.9397166956332917,0.3798828669147002,-1.5133890177895952
2.75,0.75,2.024769699285316,0.9626581543614804,0.3640455960307439,-1.326626663696824
2.75,0.875,2.01859543104532,0.9270782868525491,0.5192926682943881,-1.1456944061128997
2.75,1.0,2.002805816304341,0.9529242830346699,0.5336113206435322,-0.9868143511095157
2.75,1.125,1.9982249916450467,0.9006593019398992,0.6994258652081908,-0.8193882096890491
2.75,1.25,1.9712894310676283,0.9013805820957524,0.8684461978862126,-0.5928145227587434
2.75,1.375,1.8391104371185771,0.9937241109631226,0.7257987744463889,-0.38531098329592045
2.75,1.5,1.3664318695629318,1.0015596292013755,0.7351854567370371,-0.12971666397130988
2.75,1.625,1.084411367923773,0.9353239737691242,1.1108210986867182,0.07228642011207964
2.75,1.75,1.6484760618299843,0.9677020333668634,1.1180445692707621,0.33837189737258755
2.75,1.875,1.8335304825569194,0.9660178909846069,1.3174966118264901,0.6077963069439569
2.75,2.0,1.887983803759926,0.9825496712835134,1.3152315710727924,0.8173991397565941
3.0,0.125,1.9823207289227465,0.9608517673548449,2.57294911060371,-1.2972537619381805
3.0,0.25,2.023855799275726,0.9146819547919243,0.947623439476643,-1.793035821672588
3.0,0.375,2.028843100634176,0.881137279442966,0.533996817019702,-1.8883653897780324
3.0,0.5,2.032103957005062,0.8920594444551551,0.44463823599586416,-1.780126481595702
3.0,0.625,2.0321306743263032,0.8550169914239265,0.5034160040831038,-1.671822151369894
3.0,0.75,2.028879830192706,0.9012016794590374,0.5037175789381654,-1.5431815949694927
3.0,0.875,2.023796349567999,0.9948794897236658,0.4142728100302567,-1.3421220479991536
3.0,1.0,2.013671425510927,0.9043124488747694,0.659457681249608,-1.1494617594445555
3.0,1.125,2.001336651367008,0.9028849317408565,0.7829428251070495,-0.9562863675591152
3.0,1.25,1.9615483444242843,0.9556583091174176,0.7536852055634689,-0.7028992809909218
3.0,1.375,1.8932199985719764,0.977834187746019,0.8104236045184344,-0.499962428035616
3.0,1.5,1.6094104454786866,1.0086187470635293,0.7908021711707561,-0.21969372264195763
3.0,1.625,1.0220321363639464,1.0228575547449308,0.8403301463809745,0.012933012928709579
3.0,1.75,1.5699557810855322,1.0705523038216396,0.8201817133243173,0.28114909029462803
3.0,1.875,1.8001345712703845,1.0043286901971022,1.1467507899189295,0.5508063845708516
3.0,2.0,1.8878079900872091,0.9655960651797125,1.5238232818767303,0.8525982031041939
3.25,0.125,1.983104239951042,1.019186337829047,2.2295762479806696,-1.536793579065681
3.25,0.25,2.0251896806532477,0.8818699915399416,1.0112937843334235,-2.043815091608799
3.25,0.375,2.0288610269503744,0.8919256642780803,0.4755773735918369,-2.0889975484997296
3.25,0.5,2.019068120894771,0.9145243534881622,0.3701957306477815,-2.025364111518421
3.25,0.625,2.027374649577386,0.8644432075290792,0.4927685414924789,-1.8808539246898723
3.25,0.75,2.0237454605612255,1.027695847645916,0.28149081998023084,-1.7030461821550422
3.25,0.875,2.0204825778444975,0.9305171161425894,0.4831457910233821,-1.5479971075318502
3.25,1.0,2.0165308648063496,0.8704789162313071,0.7110646695679892,-1.3118373840196356
3.25,1.125,2.0191129753743318,1.0067682708206906,0.5150127689147621,-1.07299506091546
3.25,1.25,1.9896772271315806,0.9621605046043955,0.704193191330415,-0.8548783275249094
3.25,1.375,1.9320574337037049,0.9899934922319167,0.76714702308519,-0.6051589401447501
3.25,1.5,1.7962990942211288,1.04616860020727,0.7197323758697702,-0.38134869263053883
3.25,1.625,1.087995468143832,0.985328387828052,0.9977368537396702,-0.07577123317782782
3.25,1.75,1.4022038111547495,0.9951000880952179,1.1912910189888146,0.23131102764461897
3.25,1.875,1.716093977042382,0.9796102226260406,1.4238351290456175,0.5176667155862688
3.25,2.0,1.859200895470157,0.9660398812707534,1.5682392379967731,0.7961515076826737
3.5,0.125,2.0009674950020186,0.9639879437518132,3.005609188673588,-1.7409057788208684
3.5,0.25,2.0314917718322962,0.8551636435359531,1.0835632939302384,-2.3089195715556317
3.5,0.375,2.0299671706461027,0.8615470967477799,0.4751393860449785,-2.313692051202701
3.5,0.5,2.0250160165228097,0.7440002006025487,0.6521642640158168,-2.274035518473877
3.5,0.625,2.024940149665378,0.8422685841575809,0.525860154424138,-2.094724935914224
3.5,0.75,2.016684522775225,0.9253179052729466,0.4107492688671591,-1.8790468257707766
3.5,0.875,2.023704712882871,0.958714114107915,0.4242483587638932,-1.6969606059312816
3.5,1.0,2.0182183188670026,0.9351545146106492,0.5699709394087416,-1.4754794645126479
3.5,1.125,2.016862285518431,0.9037891701513184,0.7479235312706919,-1.2514034598899475
3.5,1.25,2.0036297658393685,0.945776888115723,0.8360291461347622,-1.0124849255382748
3.5,1.375,1.974413362349814,0.9719921273832434,0.8313324106644954,-0.7267632840503148
3.5,1.5,1.8705252253750457,0.9659647172776191,0.9920020503334253,-0.4544631895859454
3.5,1.625,1.344649004795348,1.0115637712795869,0.9828809172617327,-0.14495243154166232
