# G = 0.0
# D = 0.01
Ps,Pf,alpha,beta,D_eff,mean_vx
1.75,7.5,1.923237822182289,1.0311405213458622,3.3163128584538875,1.076768071933014
1.75,8.0,1.8911550317352082,1.0120699882256632,3.8767578077227545,1.1244258775099838
2.0,0.5,1.1351271213550902,1.01566747365662,1.860591169494066,0.05097952512019724
2.0,1.0,1.3156236734023614,1.0139299402594577,1.902408913760634,0.11837520569286462
2.0,1.5,1.4819520259627217,0.9782995643507454,2.241277501780137,0.15816299241301807
2.0,2.0,1.6532697799756204,1.0143675257737497,1.925416768968917,0.22242284382507807
2.0,2.5,1.733708760524381,0.9840011279920508,2.2948005049530997,0.2879970938375159
2.0,3.0,1.7239463468042144,0.9950324964654939,2.3282171771506337,0.3518397830507406
2.0,3.5,1.7790590248001188,0.9726605715322406,2.5876082142475876,0.4094590691592571
2.0,4.0,1.8221009842802702,1.0307876140033034,2.2089170402869973,0.45962413919663253
2.0,4.5,1.8360028090133154,0.992651173290304,2.847847334625634,0.5153032888941186
2.0,5.0,1.8571123625297206,0.9917327559879073,2.8200942739022636,0.5770814271081256
2.0,5.5,1.8865045462506516,1.0606203948157853,2.4270962010789265,0.6226719228928592
2.0,6.0,1.888785151944518,0.9846213275384768,3.5871962520063856,0.6890728597797242
2.0,6.5,1.875882656691683,1.0134460583487712,3.311678300201896,0.7465958399986803
2.0,7.0,1.8915230637983116,1.0139379742558354,3.476497466649515,0.8073612907885747
2.0,7.5,1.894763852106059,1.0842040976099165,3.0893216191148043,0.8644540293717241
2.0,8.0,1.9019343618562214,1.0348486891796058,3.677574456010569,0.9038809471896049
2.25,0.5,1.119533926187231,1.0336465193473952,2.259250596162323,0.047693043498112014
2.25,1.0,1.2739955254018205,1.014457361062721,2.319198550022093,0.09848262090590676
2.25,1.5,1.4445621966313302,1.0455816095010035,2.244137479238616,0.14138118542905875
2.25,2.0,1.5793974429956907,1.0282881100328074,2.2255847001263223,0.18402097705902246
2.25,2.5,1.6708973510665124,1.0554769517341682,2.347231902467668,0.24228659922873919
2.25,3.0,1.7259292367668853,1.0520553616113042,2.2319799594204324,0.2852977590259924
2.25,3.5,1.7801799937160012,1.0402755036718754,2.519606815311649,0.3325012843209558
2.25,4.0,1.797856587569429,1.0466182977484577,2.518039800983345,0.38982821474206975
2.25,4.5,1.8249685869000745,1.068523775001882,2.3002615884554363,0.4356975372342006
2.25,5.0,1.846333580309732,1.053775284134522,2.624973542475721,0.48042961264630435
2.25,5.5,1.8548900572206406,1.0289908859607813,2.9056904543062863,0.5423162209750523
2.25,6.0,1.8597449182688766,1.0445310442389573,3.007491973060428,0.5839435993820435
2.25,6.5,1.8715527634159523,0.9573094011061772,4.318926492108859,0.6219795404461679
2.25,7.0,1.841545392213228,0.963135580542433,4.583347334569361,0.6699917680407897
2.25,7.5,1.8942532168002402,1.0141960635826082,4.016766031634346,0.7183637556186948
2.25,8.0,1.8817246578472966,0.9946631027833827,4.779659035178275,0.7990038090967369
2.5,0.5,1.1042510183079883,1.042043273032032,2.6335682391106014,0.03543483149995559
2.5,1.0,1.2634168415396767,1.0630736373034972,2.634983916510823,0.08290969908138189
2.5,1.5,1.3863626337452744,1.0528099089110263,2.5935301264724138,0.11137330119802827
2.5,2.0,1.5252220602388438,1.039509623476108,2.683077098135135,0.16690696415874637
2.5,2.5,1.6595079507531971,1.072485746800515,2.433332180636659,0.20812751211578795
2.5,3.0,1.6638980886212766,1.023853041928199,3.0918661732711423,0.24210717445703517
2.5,3.5,1.7274320436977977,1.0547372204282814,2.832461224383651,0.28928092870840055
