# G = 1.0
# D = 0.01
lp_w,U_v,alpha,beta,D_eff,mean_vx
1.5,3.25,1.9814941516946696,0.966836086768992,1.1938028268615062,1.5285711679861371
1.5,3.375,1.9811235965795329,0.9400638558535058,1.3432211297222105,1.629154410611961
1.5,3.5,1.9848483197106384,0.9561548580948258,1.3211542431197796,1.6788056777167395
1.5,3.625,1.9828259017530268,1.0136953139429463,1.1267667466938927,1.787449858661998
1.5,3.75,1.985542226173743,0.9937345931982262,1.2910916782258217,1.9145832178585556
1.5,3.875,1.9854496985236811,1.046753502460418,1.0380315220332714,1.9788319196934132
1.5,4.0,1.9826841095077525,1.011137524786919,1.259139843504769,2.08182125164948
1.75,0.125,1.778648456200687,1.0440149770551252,1.0587623677567104,-0.234746005272854
1.75,0.25,1.9633856802171692,0.9971511234109388,0.7707482485372431,-0.3926623312754177
1.75,0.375,2.00471630198192,0.9827366747905584,0.4998896948125262,-0.4465753133524695
1.75,0.5,2.027249799741919,0.952978870114855,0.44644618021772137,-0.45434651972720047
1.75,0.625,2.0102781245935697,0.9969734696732256,0.36544579518922904,-0.4119998584799189
1.75,0.75,2.0184433534138466,0.9923630346195333,0.3667585985700218,-0.36159957536397463
1.75,0.875,2.0019650108138682,0.959517221014543,0.4166435372313542,-0.3056267359294451
1.75,1.0,1.9131824890166553,0.9627131675834888,0.49653011858359714,-0.2333031663395879
1.75,1.125,1.7589376107976666,0.9449845032696338,0.5600480946199258,-0.16503615794141904
1.75,1.25,1.433769110266829,1.0332338668461054,0.4285898555574678,-0.07767185626650297
1.75,1.375,1.0017268017517527,0.9958361247629909,0.5253176201374973,0.02260756117207502
1.75,1.5,1.4683728531029225,0.969157277967169,0.6421476075042074,0.10080788814201447
1.75,1.625,1.7126149503714905,0.9814634676200511,0.7041047300831644,0.18957242987053688
1.75,1.75,1.8230105875329967,1.0378005425046604,0.6319991229967674,0.2898060171815809
1.75,1.875,1.9046163397532223,1.0269622225762078,0.6732302984505805,0.37968152896911306
1.75,2.0,1.9140582775370532,1.008533179556187,0.7665155915322731,0.48624043869053246
1.75,2.125,1.9297352948275155,0.929782306683733,1.1142215636869028,0.5577178269479142
1.75,2.25,1.9530018474028696,0.9888920330112426,0.9553513788013379,0.6567002147284747
1.75,2.375,1.955617725116043,1.0543646463745733,0.8066580106185856,0.7569538471042977
1.75,2.5,1.9696238598992988,0.9947962720131975,1.0120102871549745,0.8618975509867769
1.75,2.625,1.982124422155603,0.9643883859385782,1.1949973936725775,0.9878297391275053
1.75,2.75,1.9836864860550014,0.9934997000603071,1.12208677997896,1.0869410281343976
1.75,2.875,1.9725174396574543,1.0385481031246249,0.953854910626248,1.165236818206889
1.75,3.0,1.978946108288837,0.9688728571644291,1.2838745274642849,1.2790463757597104
1.75,3.125,1.993033256463561,0.9622245968632221,1.3391073436357679,1.3853383802691435
1.75,3.25,1.9846488299917295,1.0418436145888812,1.0539632492194813,1.4504593820688445
1.75,3.375,1.9776606206967338,1.0030338587412184,1.3822526639859078,1.5822116026114996
1.75,3.5,1.9924648337849682,0.9897607701984318,1.4267019096622477,1.6902612810114532
1.75,3.625,1.9860629191321781,0.9480818244805308,1.656322045398568,1.7707600211482355
1.75,3.75,1.9869336993731994,1.0143020184027445,1.4776488433857946,1.8626355262777228
1.75,3.875,1.9870625376157192,0.9760919216883782,1.5752888777698948,1.9869344410411993
1.75,4.0,1.98733711818436,0.9660607260662214,1.7674476008079116,2.078929272796273
2.0,0.125,1.8684070794671395,1.034631006556782,1.2761823981503189,-0.2872873781156096
2.0,0.25,2.011698964735264,0.9588441726590027,0.9009393779289905,-0.44155821265119166
2.0,0.375,2.020271979291386,0.9603789126234047,0.522004877547983,-0.48627401958995997
2.0,0.5,2.0203883834553347,1.0145264897137294,0.34907490339238034,-0.505048995853888
2.0,0.625,2.03244459574528,0.929576780280758,0.48276562032125303,-0.4640801520684386
2.0,0.75,2.0244782043697476,0.9739151431596574,0.3871108264533123,-0.4041078300789049
2.0,0.875,2.003499869859348,0.9781004407876843,0.45762059719051973,-0.3386555695454581
2.0,1.0,1.96963729991144,0.9362372138643346,0.5770928231402784,-0.2614789413964717
2.0,1.125,1.9246840605455189,1.0003630981017884,0.4691972532478468,-0.20397359033431614
2.0,1.25,1.6931871134111705,0.9597204859914549,0.6383350791421974,-0.11532175635360845
2.0,1.375,1.139673499897,0.9537664416411132,0.6618023731419678,-0.033237951713045215
2.0,1.5,1.2354363232745391,1.006796293914103,0.6392002266839697,0.053756914304973105
2.0,1.625,1.6208956750055246,1.0019497003624607,0.763362726070876,0.1405731756559755
2.0,1.75,1.801464773934255,1.0048827727066925,0.7426337228304285,0.23441722575342291
2.0,1.875,1.8706114407806895,0.9959062239797333,0.8475571847400551,0.3203106876800137
2.0,2.0,1.9124494105876237,1.0494143131729654,0.8080998014945694,0.4263007170020985
2.0,2.125,1.936399625257393,1.0090176365366175,0.9482854993408957,0.527423730141371
2.0,2.25,1.9399635379680034,1.0533929365927344,0.8499919273967138,0.6424567883537143
2.0,2.375,1.9553391857261597,0.9741218251534124,1.2447787803310888,0.7388005295810661
2.0,2.5,1.9559303134243065,0.9664448826505965,1.3474660099720859,0.8311979725826518
2.0,2.625,1.979667130614066,0.9957002460160937,1.2900156140041612,0.936585582115404
2.0,2.75,1.9745462352583203,1.0565564425495393,1.0950659687817523,1.0484633996758557
2.0,2.875,1.9771357562968284,1.0243765852217415,1.2314076975028312,1.1407870540823768
2.0,3.0,1.979633511677567,1.0480346404541858,1.1877398212214838,1.245988158938605
2.0,3.125,1.9904043191032048,1.0428359881345508,1.3173012751657367,1.339785920093142
2.0,3.25,1.9824353856915677,1.0569737610294831,1.2482341127311711,1.4571689221635409
2.0,3.375,1.9915390039288121,0.9888581048527987,1.6262177123053962,1.5486829379472784
2.0,3.5,1.9944170194564041,1.0381497330290588,1.4823058028203662,1.6453047129596672
2.0,3.625,1.986236488812092,1.0540730902295594,1.5452426813855036,1.7490585793539857
2.0,3.75,1.9912769746750176,0.9986803932443225,1.7985845549328903,1.8378053629730526
2.0,3.875,1.988338032212883,1.0221560028243477,1.698924996463994,1.943954045456872
2.0,4.0,1.9887368320347725,1.0324362089975383,1.6523375411096275,2.0500609856377894
2.25,0.125,1.8862674841564993,1.0585872894249255,1.3958071303839434,-0.31835547190912655
2.25,0.25,2.0176001090204543,0.9597167322266127,0.9565198570730905,-0.5000764653652812
2.25,0.375,2.0280819791409987,0.9317868499061851,0.5973660044961072,-0.5283163739840465
2.25,0.5,2.0280045065673735,0.9279187125740835,0.4525117864698051,-0.5345920386362132
2.25,0.625,2.030382870102178,0.8750324172475965,0.5492736254779036,-0.4983719079767464
2.25,0.75,2.0139911002895996,1.0105008132684452,0.34955012315385237,-0.4339122976661426
2.25,0.875,2.0202500629446654,0.9809752043337634,0.42744873274015277,-0.38345095302600674
2.25,1.0,1.9911930312136052,0.9214462541535812,0.6037488797388272,-0.3147900138232923
2.25,1.125,1.9624440792208762,0.9750918741907899,0.5298888824015152,-0.23195379337121377
2.25,1.25,1.828421995017508,0.9122235524410645,0.727714396361935,-0.1583792133673002
2.25,1.375,1.4895638368630744,1.0539606425522874,0.5248737852973882,-0.07043104586704657
2.25,1.5,0.9421649841667832,0.9262800189249504,0.9301043574504492,0.010714086813544514
2.25,1.625,1.5114427005432514,1.0064556138692136,0.8022424680544671,0.11462547414403021
2.25,1.75,1.772552180918791,1.0266494384967075,0.7687891722718884,0.2005243968505258
2.25,1.875,1.8336926733237833,0.9470065772548497,1.1664178892050883,0.2947300725267887
2.25,2.0,1.9046786574442034,0.9807369521039926,1.051320486072101,0.38243950771485213
2.25,2.125,1.926483939619783,0.9701043376550579,1.259849546035221,0.487891149804044
2.25,2.25,1.9477461914543717,0.976695157244989,1.2337602608517537,0.5952687507710626
2.25,2.375,1.9465628278447924,0.9401447327554664,1.604419177101168,0.7006321104371344
2.25,2.5,1.9679411732180725,1.0458981576205435,1.1579052406359123,0.7905852767829775
2.25,2.625,1.9732158196601741,1.022951191106916,1.3677817098305747,0.8926693850055556
2.25,2.75,1.974419825798059,0.9852092410380869,1.6197006057181107,1.0117416385385534
2.25,2.875,1.9774527252859075,1.0112529757398954,1.4396895531644531,1.1078008412292286
2.25,3.0,1.9823988859867263,1.0027586121575875,1.6771304075270819,1.224349149978455
2.25,3.125,1.9900021037938875,1.0179841495542437,1.6449974026224594,1.3063973032890457
2.25,3.25,1.9812264192452729,0.9708059947443527,2.0685492358649404,1.4074420025411658
2.25,3.375,1.9892343339744198,1.0046544610080737,1.8600520908782943,1.5224333117387008
2.25,3.5,1.9964545225357657,1.0224020845247255,1.873504831705597,1.6188833362648953
2.25,3.625,1.9899992443561696,0.9968043956008719,2.1188229904749236,1.7198508145624254
2.25,3.75,1.9907749881881731,0.9981349394975348,2.0035796180261145,1.8137805591040612
2.25,3.875,1.9901419169467571,0.995555843297599,2.1813920397830993,1.9264424527899198
2.25,4.0,1.9914572548153124,1.0495570611270215,1.8452609375828866,2.032242442166071
