# Ps Pf tauTTD tauBTD
2.25 7.0 166.2755433584855 1.1549693227210307
2.25 7.5 159.15800060626836 1.272847531639365
2.25 8.0 157.42239548612977 1.361595257335576
2.50 0.5 854.480128244707 0.5240119617004375
2.50 1.0 546.1747041148858 0.5353936281302226
2.50 1.5 408.2644041339115 0.5487383791962634
2.50 2.0 337.35468902996894 0.5859080459829921
2.50 2.5 295.42502397218396 0.6591470336616284
2.50 3.0 259.4200762909477 0.6546658284810696
2.50 3.5 239.67825074438645 0.6758012883108421
2.50 4.0 219.3237362289407 0.6979334052662287
2.50 4.5 217.75285114027233 0.7659385011639332
2.50 5.0 189.4861438478416 0.823601551283244
2.50 5.5 182.6469311056807 0.8267218216727882
2.50 6.0 179.33152554028896 0.8701863909270845
2.50 6.5 173.790927392941 0.9224944730486734
2.50 7.0 174.39416997117021 1.0285917648952245
2.50 7.5 155.28380156946145 1.0337624976416777
2.50 8.0 156.78490725203392 1.1850412338323
2.75 0.5 903.7160008575471 0.4635876626046414
2.75 1.0 554.4517458434227 0.5079173304718846
2.75 1.5 424.34466790780823 0.5145273113631735
2.75 2.0 340.7191179917054 0.5723925199500324
2.75 2.5 311.6701446389462 0.5438739246594609
2.75 3.0 273.0277836098322 0.601252187484855
2.75 3.5 255.25831866738423 0.6444646711955992
2.75 4.0 232.26938163412703 0.656915684808374
2.75 4.5 217.55638287869579 0.6829194133576004
2.75 5.0 199.67362880440052 0.7599812062220878
2.75 5.5 200.76797722118428 0.7450744168438449
2.75 6.0 200.77499600772882 0.7911362552666613
2.75 6.5 182.2691351400426 0.84218982682162
2.75 7.0 165.33669288765418 0.8423067300212721
2.75 7.5 158.76083241314015 0.9743656456400994
2.75 8.0 166.00465848847776 0.9380836243954632
3.00 0.5 956.9674995059013 0.42225642604689856
3.00 1.0 560.8143798238709 0.47277439994175263
3.00 1.5 425.43085218226275 0.5130048079182861
3.00 2.0 352.70592992455255 0.5451552755750935
3.00 2.5 288.36708209164317 0.5374437091333147
3.00 3.0 287.2940938846702 0.5473218382470417
3.00 3.5 263.74621843350496 0.5982490017798898
3.00 4.0 247.4888938851911 0.6277783626709871
3.00 4.5 216.19170366042837 0.6443035129281814
3.00 5.0 198.87229541017476 0.670465440391663
3.00 5.5 206.29853239443904 0.6503010650200998
3.00 6.0 192.51747541281046 0.7079004758770162
3.00 6.5 184.86081083456398 0.7185433826870518
3.00 7.0 175.51789480578242 0.7611564132502269
3.00 7.5 167.75014969600485 0.8083627137110232
3.00 8.0 158.43922416047832 0.8306438667968729
3.25 0.5 924.5777357312628 0.42242315156292326
3.25 1.0 565.6832859248456 0.43350192024054773
3.25 1.5 447.21086931871974 0.4479522050058968
3.25 2.0 357.95158256238074 0.4877683024788031
3.25 2.5 321.3711851396211 0.5253685659529654
3.25 3.0 300.43209766521653 0.5181142575466144
3.25 3.5 261.98973787435443 0.5171293289129872
3.25 4.0 244.29025501012975 0.5543803879390067
3.25 4.5 220.10232396144033 0.5633665115631594
3.25 5.0 212.1107275860894 0.6440535350619617
3.25 5.5 197.749400067541 0.6324656272248481
3.25 6.0 191.71763252233447 0.6492403428410627
3.25 6.5 187.72702667846423 0.6713931981363822
3.25 7.0 178.30993145536382 0.6853959541352973
3.25 7.5 179.3390269942735 0.7428026622049501
3.25 8.0 169.81585014119133 0.7771403587638503
3.50 0.5 978.3945817703622 0.41538417285703383
3.50 1.0 577.6681708566261 0.4279218035435448
3.50 1.5 450.1263411516323 0.43141257685752143
3.50 2.0 368.35745466474054 0.4651615279949492
3.50 2.5 310.08371692335425 0.47833699997749146
3.50 3.0 289.21813443149415 0.49613201658250633
3.50 3.5 258.7660766635753 0.49924101313677455
3.50 4.0 246.07448410164332 0.5318974602408058
3.50 4.5 219.36890014017112 0.5497408745241558
3.50 5.0 208.6449709617405 0.5688993121642602
3.50 5.5 212.80421488161343 0.6048901516800536
3.50 6.0 205.63758935116334 0.6180780308072361
3.50 6.5 191.72350690694083 0.6337215906837581
3.50 7.0 184.8995719925691 0.6649620935028479
3.50 7.5 173.96212863008665 0.662286587342913
