# Ps Pf beta Deff
2.25 4.0 0.9783229343445321 1.0215846554607484
2.25 4.5 1.00596026691144 1.025941308522698
2.25 5.0 1.0088577990670768 1.1398013228849209
2.25 5.5 0.9791328963738718 1.5928657986300316
2.25 6.0 1.0145204725925923 1.3076564441530045
2.25 6.5 0.9957260672456479 1.724953764119951
2.25 7.0 1.0275629726638946 1.4627608212036232
2.25 7.5 1.0072323771124874 1.7636619494983616
2.25 8.0 1.0237816017901684 1.6607767978005692
2.50 0.5 1.011001648577903 1.013462406413351
2.50 1.0 0.9921517294424744 0.361933292192376
2.50 1.5 1.0062220220645572 0.27379817587754185
2.50 2.0 1.0384495467039943 0.2598197663284013
2.50 2.5 1.0328482499994993 0.3428396890185282
2.50 3.0 0.9909235008212899 0.5909074011740285
2.50 3.5 1.0102920041850647 0.6301412593854386
2.50 4.0 1.032957476604996 0.6487025308464267
2.50 4.5 0.9866519038501159 1.0511655645306797
2.50 5.0 0.9978497089954083 1.1883865121759016
2.50 5.5 0.9611950126563894 1.7960059457739135
2.50 6.0 1.0141216784050004 1.3075990299476767
2.50 6.5 1.0024007456078787 1.563702463813943
2.50 7.0 0.99109235445032 1.9460595685434943
2.50 7.5 0.9578078788540488 2.6143163058383254
2.50 8.0 1.0159849124085312 1.7939713761345564
2.75 0.5 1.0371500584086744 0.9959205738408059
2.75 1.0 1.0337851705622183 0.2746363606788303
2.75 1.5 1.0057860008858797 0.26104095910715186
2.75 2.0 1.020643189113712 0.26816093859051415
2.75 2.5 0.9897695784231499 0.4068094788149876
2.75 3.0 0.9754250990939809 0.5721059621387696
2.75 3.5 1.0204319153239374 0.5017850090610471
2.75 4.0 1.0234625298892346 0.6273870285128421
2.75 4.5 0.9679572555066175 1.162244410064334
2.75 5.0 1.0032715153390221 1.0292808759490737
2.75 5.5 0.9870770513011236 1.3672908770123484
2.75 6.0 1.0183254038592895 1.2493157108530242
2.75 6.5 0.9703944751236642 2.0566782059583333
2.75 7.0 0.9792583079648188 1.997019352141037
2.75 7.5 0.9913025867772582 2.0872898836879696
2.75 8.0 1.0253614637023836 1.7294343739718319
3.00 0.5 1.0034313614234835 1.4893516488243943
3.00 1.0 1.0124935390933263 0.3437033060791337
3.00 1.5 0.9956737855355625 0.2647344715462462
3.00 2.0 0.999881187592878 0.27732964303485996
