# G = 0.0
# D = 0.01
lp_w,Pf_Ps,alpha,beta,D_eff,mean_vx
1.25,1.0,1.7365948267720652,1.029489387425275,0.7448023325631724,0.35710821971483653
1.25,1.125,1.7807061224058398,0.9848830392010046,0.9054184464950255,0.3999888849103722
1.25,1.25,1.796648069765237,1.0421814272470526,0.7671566753598705,0.4105757616149307
1.25,1.375,1.7768782807419177,0.9660332232485285,1.0537958323452288,0.4935529676716802
1.25,1.5,1.8064929336840936,1.053566190952931,0.789815548951842,0.5586079697857524
1.25,1.625,1.8256087261294924,0.9799323822556414,1.0738243957035032,0.5678294918986572
1.25,1.75,1.8351010318333267,1.0243082402657309,0.971705598164546,0.6446656663078519
1.25,1.875,1.8589910150558164,0.9977028493371805,0.9986169174987721,0.6823617465959586
1.25,2.0,1.8386423467612274,1.0092944206082288,1.0738473960333348,0.7551136281097005
1.5,0.125,1.0452466538145309,0.9958999188363976,1.0810578468248815,0.03897315774622502
1.5,0.25,1.2091115146767484,1.0832733706934978,0.8205701518970901,0.07787977584608026
1.5,0.375,1.2707663496953359,0.9844263235258562,1.1591820874461545,0.16672870488520747
1.5,0.5,1.4367140371094203,1.067123604855058,0.8717567491637821,0.1856855782531936
1.5,0.625,1.5244000676908918,1.0191596280610205,1.0786067946707,0.2651429819770108
1.5,0.75,1.5642864783721673,1.025681555109764,1.0187364838755162,0.2783744020072008
1.5,0.875,1.6130831051342929,0.9392028046051545,1.3692250336606537,0.3280948658932796
1.5,1.0,1.6727591586518926,0.9830487561113438,1.299222544075985,0.41183207309266584
1.5,1.125,1.7284017531154598,1.0032584304764935,1.1589725793013543,0.4957961090582557
1.5,1.25,1.7267825694642485,1.0331534427159421,1.1491444505939883,0.5189365733983377
1.5,1.375,1.7775241362129541,1.049356462556808,1.073429957337951,0.5365810467063054
1.5,1.5,1.8135084177120144,1.071545050552124,0.9935336998973195,0.5880277645831467
1.5,1.625,1.8042754996945325,1.048985467160012,1.1679656114004922,0.6341943615256403
1.5,1.75,1.8450648922239212,1.0126256634054207,1.3308531961181223,0.6928330809847182
1.5,1.875,1.828813876248832,0.9930258565797809,1.492029401521529,0.7398328482981891
1.5,2.0,1.8407601829977454,1.024559032546876,1.447020251292297,0.8030060341789624
1.75,0.125,1.042720463967559,1.0024858396348182,1.5029951016835494,0.05101249881896863
1.75,0.25,1.1513329373580703,1.0462638217355908,1.2108489197692034,0.07653981894321238
1.75,0.375,1.3111905416475287,1.1030884385944644,1.0559914191186537,0.16480450284982387
1.75,0.5,1.3774831243586623,1.0252429225042665,1.3566654900747226,0.19631645619103325
1.75,0.625,1.5369754531362088,1.0656734749758083,1.1920560073645827,0.27505052897393
1.75,0.75,1.5322939923614143,0.9950880865243678,1.5805924369075008,0.3549856023273268
1.75,0.875,1.645013714520905,1.0276546260723165,1.4192352113170452,0.37883635584445235
1.75,1.0,1.668270072238648,1.0909082569842776,1.174537515216001,0.43883185286371035
1.75,1.125,1.6859575641189528,0.9918398881775282,1.5995498176901157,0.4882951627618737
1.75,1.25,1.7379799468313617,0.9942942221612084,1.6655799142549714,0.5403144393201621
1.75,1.375,1.760506417864347,1.007636258605793,1.6794508653853604,0.5900655318748373
1.75,1.5,1.8017883653680649,1.0342380596836238,1.6576999560046435,0.6316754532339491
1.75,1.625,1.8271036371427012,1.0464839960682797,1.5681369173935822,0.7284485029321204
1.75,1.75,1.8474163813484452,1.0645173126200294,1.5339940004257688,0.75495571953108
1.75,1.875,1.8361369360163848,1.0148644785665697,1.7382259854684952,0.8077102805756252
1.75,2.0,1.842142928836723,1.1056973086068258,1.3270202570374494,0.878483107223476
2.0,0.125,1.0213795166584454,0.9772187677733112,2.1086157411925934,0.07645986728954617
2.0,0.25,1.1660092131744888,1.0455014026831917,1.6525068764686743,0.13616471155208604
2.0,0.375,1.2545950576552385,1.0344374791747757,1.7412466484401308,0.15837129893722407
2.0,0.5,1.363821603812582,1.0124998228704356,2.0114267250204985,0.21304417361692676
2.0,0.625,1.4714129776355063,1.0671796489256464,1.5335483113695065,0.2944152088997967
2.0,0.75,1.474704088685861,0.9758361673515324,2.186869067032748,0.34040964924303696
2.0,0.875,1.5595517287125675,0.9784508926715129,2.1422803276270046,0.4253699137729402
2.0,1.0,1.6479444547525157,1.0399681237842258,1.7784001333097799,0.44981562245154016
2.0,1.125,1.696192869148026,0.9951173733214845,2.144366756418154,0.5220532200690855
2.0,1.25,1.703253084309688,1.0641509806963612,1.778141877477902,0.5702877017534858
2.0,1.375,1.7504302682381185,1.0477386684677612,1.7664851129065264,0.6301142240429535
2.0,1.5,1.7729051696607487,1.0601720919403796,1.8471486793970824,0.6871226619050674
2.0,1.625,1.7867573803572014,1.0130287063209118,2.212081743345137,0.7385119290525014
2.0,1.75,1.8025558839457176,1.0803506305637498,1.7812640913938609,0.8221979143382796
2.0,1.875,1.8072325132189238,1.053038107309422,2.002874387040005,0.8495761145187869
2.0,2.0,1.811295329368482,0.9946284686998065,2.5117657936740767,0.8994929889089514
2.25,0.125,1.0827315152132668,1.052605432917716,1.9805606909059896,0.06664902157444619
2.25,0.25,1.1569302808067112,1.0488227902556437,2.036139237371516,0.14592534957661238
2.25,0.375,1.2745304319848487,1.0615210255002399,2.1311419142292474,0.19662318906168164
2.25,0.5,1.3491214119166008,1.0408352845289137,2.254812758124818,0.23979206272783635
2.25,0.625,1.457529226140591,1.0624016726657581,1.8878769271428673,0.29699486078020093
2.25,0.75,1.4917621356248703,1.0324408671025553,2.276271923078851,0.35103019742211466
2.25,0.875,1.5409850958506452,0.991755489609122,2.5576130589311643,0.4280650610353366
2.25,1.0,1.6012310870673925,1.04190732365233,2.231384590583294,0.4710523967214115
2.25,1.125,1.6397990112599967,1.0422307022947592,2.3314859889255577,0.5129532983235711
2.25,1.25,1.6847778649551854,1.028289557351921,2.3464010472015526,0.5953925470898391
2.25,1.375,1.7174795948152923,1.006064705709154,2.5819192401845052,0.662223515772523
2.25,1.5,1.8026164047758857,1.035606734383703,2.419063580472898,0.7523202243740726
2.25,1.625,1.7827244336941062,1.0411768734338132,2.370054604170094,0.7731250027851224
2.25,1.75,1.8101791006219985,1.0628016826342195,2.409221874901325,0.8694134004876739
2.25,1.875,1.8513067890199832,1.1133558225773397,1.9487432583232291,0.921992384891035
2.25,2.0,1.8414825429007515,1.0590648086090984,2.5282876288895317,0.9946972191463233
2.5,0.125,1.055306676041874,1.028356338270433,2.6497297564005566,0.04396752221747202
2.5,0.25,1.1655431263201155,1.0595895798655168,2.4078890448172046,0.1332210641785819
2.5,0.375,1.1640692636745444,1.0060271014297968,3.040325243207622,0.1845032348331328
2.5,0.5,1.353508384081303,1.0788616899125765,2.3549075179084875,0.24585277374868736
2.5,0.625,1.4532240139548496,1.125161930497039,1.9905893989390926,0.3317732671924869
2.5,0.75,1.5649011499042578,1.0675403453833774,2.4610807413197704,0.3943511020709927
2.5,0.875,1.5985587387889542,1.0536038985409264,2.6945150236850006,0.4677421728513427
2.5,1.0,1.6160604597640003,1.0164618305759268,2.965342953409712,0.5128757833905706
2.5,1.125,1.67070096167919,1.0836945583076054,2.3761736203402926,0.5972481739136926
2.5,1.25,1.6477463748031167,0.9698622300564479,3.5820261004505354,0.6482349115952833
2.5,1.375,1.69079729360546,0.9828480293187188,3.505549318816138,0.6958277637580488
2.5,1.5,1.7267261495580957,1.0322370890236492,3.1811191389755034,0.7751223747664889
2.5,1.625,1.7668138545757708,1.0149797497638264,3.4841052363610725,0.83375874788146
2.5,1.75,1.7928779556974965,1.0506589912173783,3.082676868225294,0.8978423209754931
2.5,1.875,1.7848788514743148,1.0181258606560817,3.437441180978503,0.9822212361234018
2.5,2.0,1.7884947964310907,1.0093937992543232,3.8441935357945884,1.0342733379019138
2.75,0.125,1.0554007450925103,1.026680566995548,3.352464761855568,0.05798622967499511
2.75,0.25,1.0798061248395934,0.9728647223831528,3.860326409230833,0.1402279064933013
2.75,0.375,1.2145629962155307,1.0386943637681716,3.3505798594877336,0.2061496659300689
