# Ps Pf alpha
1.50 5.0 2.000406430911905
1.50 5.5 1.9988751679646461
1.50 6.0 2.0000885422788603
1.50 6.5 2.0005057947881655
1.50 7.0 2.0003971048025018
1.50 7.5 2.0019443932338423
1.50 8.0 1.9994613416292686
1.75 0.5 1.9999536299384948
1.75 1.0 1.9978216579778876
1.75 1.5 1.9992781023258523
1.75 2.0 1.996648063578482
1.75 2.5 1.9864936577051944
1.75 3.0 2.0020583421929086
1.75 3.5 2.0018795200211508
1.75 4.0 1.99872350460728
1.75 4.5 1.9992941775293969
1.75 5.0 2.0001307160559585
1.75 5.5 2.001449629255847
1.75 6.0 2.000428390005454
1.75 6.5 1.9992632514768212
1.75 7.0 1.9997048108854272
1.75 7.5 2.000920744949606
1.75 8.0 1.9991924045792202
2.00 0.5 2.0010897373311956
2.00 1.0 1.9987154838691008
2.00 1.5 2.0005898464520735
2.00 2.0 1.998821013767037
2.00 2.5 1.9966824812831308
2.00 3.0 1.9879817029468154
2.00 3.5 1.999638791103338
2.00 4.0 2.0010412394868906
2.00 4.5 1.9997514274439878
2.00 5.0 2.0013602026225885
2.00 5.5 2.0002185140067166
2.00 6.0 1.9994539261098434
2.00 6.5 2.0001937156542073
2.00 7.0 1.998963994560504
2.00 7.5 2.000554433962032
2.00 8.0 2.000040576770186
2.25 0.5 1.9994177082478022
2.25 1.0 2.0001958602500935
2.25 1.5 1.9984109963593408
2.25 2.0 1.998322737994091
2.25 2.5 2.0013727314133063
2.25 3.0 2.0010789038707197
2.25 3.5 2.002152136860254
2.25 4.0 2.000127360837164
2.25 4.5 1.997901984849967
2.25 5.0 1.999851875581621
2.25 5.5 2.0005524983033585
2.25 6.0 1.999744186101711
2.25 6.5 1.9999410870805467
2.25 7.0 2.0003503794179616
2.25 7.5 2.0000513409043608
2.25 8.0 2.0007687251917607
2.50 0.5 1.9999292311278372
2.50 1.0 1.9986371029365473
2.50 1.5 1.9986575962896849
2.50 2.0 2.001416250525055
2.50 2.5 1.998949436997503
2.50 3.0 2.001108734108347
2.50 3.5 1.991630549752102
2.50 4.0 1.9760669845430634
2.50 4.5 2.00044918205289
2.50 5.0 2.0002097344516496
2.50 5.5 1.998778093975978
2.50 6.0 2.002131417494843
2.50 6.5 1.9993552803653978
2.50 7.0 1.9999587973563944
2.50 7.5 2.0004402048052197
2.50 8.0 1.999951871108359
2.75 0.5 2.000319921015303
2.75 1.0 2.0000762011383384
2.75 1.5 2.0001614584518643
2.75 2.0 1.9986738308793737
2.75 2.5 1.9994019269431054
2.75 3.0 1.998265027964329
2.75 3.5 1.9963201439389304
2.75 4.0 1.9996979686927945
2.75 4.5 1.9628273072614524
2.75 5.0 1.9982290471735575
2.75 5.5 2.0005903688814937
2.75 6.0 1.9982683073308987
2.75 6.5 1.999561764914726
2.75 7.0 1.998732612519767
2.75 7.5 2.000372037898025
2.75 8.0 1.9995373705016577
3.00 0.5 1.9978478117698713
3.00 1.0 2.0005241591103347
3.00 1.5 2.00028733364309
3.00 2.0 2.0005831334607067
3.00 2.5 2.000011782959518
3.00 3.0 1.9982522897948718
3.00 3.5 1.9993602751244792
3.00 4.0 1.9981565268580843
3.00 4.5 1.9933578163474674
3.00 5.0 1.9814672397511592
3.00 5.5 1.9959350737653656
3.00 6.0 2.0007328723822355
3.00 6.5 2.000790789541977
3.00 7.0 2.0003485099851517
3.00 7.5 2.000051593499741
